symbol,ic_third_1,ic_third_2,ic_third_3,n_thirds_positive,worst_third_ic,subperiod_stability
BTCUSDT,-0.05111,0.18051,0.17755,2,-0.05111,SIGN-FLIPPING
ETHUSDT,-0.10104,0.1872,0.27039,2,-0.10104,SIGN-FLIPPING
LINKUSDT,-0.01443,0.12973,0.02218,2,-0.01443,STABLE
LTCUSDT,0.00941,0.00147,0.12765,3,0.00147,STABLE
DOTUSDT,-0.03434,0.35533,0.04384,2,-0.03434,SIGN-FLIPPING
BNBUSDT,0.05499,-0.01333,0.2685,2,-0.01333,STABLE
SOLUSDT,0.07017,-0.15408,0.03311,2,-0.15408,SIGN-FLIPPING
XRPUSDT,0.01252,0.00515,0.28041,3,0.00515,STABLE
DOGEUSDT,0.02622,-0.23427,0.07504,2,-0.23427,SIGN-FLIPPING
NEARUSDT,-0.09516,0.03039,-0.0618,1,-0.09516,SIGN-FLIPPING
