symbol,is_rows,is_first,is_last,long_label_frac,mean_tb_pnl
BTCUSDT,3567,2021-12-21,2025-03-23,0.5074,2.2042
ETHUSDT,3567,2021-12-21,2025-03-23,0.506,2.7781
LINKUSDT,3518,2022-01-06,2025-03-23,0.4886,3.9015
LTCUSDT,3527,2021-12-29,2025-03-23,0.5106,3.2443
DOTUSDT,2865,2022-08-12,2025-03-23,0.4726,3.3324
BNBUSDT,3446,2022-01-30,2025-03-23,0.484,2.465
SOLUSDT,2796,2022-09-04,2025-03-23,0.5032,3.8338
XRPUSDT,3536,2021-12-26,2025-03-23,0.4946,3.3315
DOGEUSDT,2993,2022-06-30,2025-03-23,0.4744,3.9896
NEARUSDT,2702,2022-10-05,2025-03-23,0.5044,4.551
