config,k,embargo,n_seeds,mean_ic,std_ic,min_ic,max_ic,frac_positive
3fold_emb22,3,22,10,0.10181,0.0071,0.09048,0.11336,1.0
5fold_emb22,5,22,10,0.04383,0.00572,0.03554,0.05156,1.0
10fold_emb22,10,22,10,0.06054,0.00563,0.05,0.06949,1.0
5fold_emb0,5,0,10,0.07089,0.00655,0.05393,0.07861,1.0
5fold_emb11,5,11,10,0.06594,0.00598,0.05453,0.07632,1.0
5fold_emb44,5,44,10,0.05444,0.00847,0.0393,0.06996,1.0
