symbol,within_cv_rank_ic,band,ic_vs_thin_floor_ratio,ic_vs_ldo_ratio,n_thirds_positive,worst_third_ic,subperiod_stability,genuine_and_sign_stable
SOLUSDT,0.06266,GENUINE,2.51,0.35,2,-0.15408,SIGN-FLIPPING,False
LTCUSDT,0.0613,GENUINE,2.45,0.34,3,0.00147,STABLE,True
NEARUSDT,0.03822,THIN,1.53,0.21,1,-0.09516,SIGN-FLIPPING,False
LINKUSDT,0.02879,THIN,1.15,0.16,2,-0.01443,STABLE,False
XRPUSDT,0.02225,THIN,0.89,0.13,3,0.00515,STABLE,False
DOGEUSDT,0.00568,THIN,0.23,0.03,2,-0.23427,SIGN-FLIPPING,False
ETHUSDT,-0.00309,THIN,-0.12,-0.02,2,-0.10104,SIGN-FLIPPING,False
BNBUSDT,-0.03052,THIN,-1.22,-0.17,2,-0.01333,STABLE,False
DOTUSDT,-0.05571,THIN,-2.23,-0.31,2,-0.03434,SIGN-FLIPPING,False
BTCUSDT,-0.06857,THIN,-2.74,-0.39,2,-0.05111,SIGN-FLIPPING,False
