feature,n_bars,mean_xs_ic,std_xs_ic,ic_tstat,frac_bars_positive
range_realized_vol_50,3431,-0.06367,0.44988,-8.29,0.451
max_dd_window_50,3431,0.03821,0.43964,5.091,0.532
regime_momentum_signed_5d,3431,-0.02846,0.40374,-4.128,0.468
ret_kurt_50,3431,0.01606,0.3694,2.546,0.517
sym_vs_btc_ret_7d,3431,-0.00967,0.40648,-1.393,0.488
ret_autocorr_lag1_50,3431,0.00928,0.37318,1.457,0.509
ret_kurt_200,3431,0.00856,0.38191,1.312,0.514
vwap_dev_20,3431,-0.00796,0.37769,-1.235,0.483
ema_spread_atr_20,3431,-0.00664,0.38442,-1.012,0.492
hurst_100,3431,-0.00609,0.36552,-0.976,0.493
ret_skew_200,3431,-0.00607,0.35853,-0.992,0.493
ret_skew_50,3431,-0.00295,0.36887,-0.469,0.492
hurst_diff_100_50,3431,-0.0,0.36699,-0.001,0.498
btc_ret_14d,0,,,,
