symbol,within_cv_rank_ic,n_folds
SOLUSDT,0.06266,5
LTCUSDT,0.0613,5
NEARUSDT,0.03822,5
LINKUSDT,0.02879,5
XRPUSDT,0.02225,5
DOGEUSDT,0.00568,5
ETHUSDT,-0.00309,5
BNBUSDT,-0.03052,5
DOTUSDT,-0.05571,5
BTCUSDT,-0.06857,5
