half,symbol,reference_name,n_target,n_reference,n_overlap,pct_target_in_reference,pct_reference_in_target,asymmetric_diff
IS,BTCUSDT,baseline,73,113,22,30.136986,19.469027,10.66796
IS,BTCUSDT,iter011,73,78,35,47.945205,44.871795,3.073411
IS,BTCUSDT,iter012,73,65,28,38.356164,43.076923,-4.720759
IS,DOTUSDT,baseline,101,93,25,24.752475,26.88172,-2.129245
IS,DOTUSDT,iter011,101,116,34,33.663366,29.310345,4.353022
IS,DOTUSDT,iter012,101,107,32,31.683168,29.906542,1.776626
IS,ETHUSDT,baseline,126,145,20,15.873016,13.793103,2.079912
IS,ETHUSDT,iter011,126,123,44,34.920635,35.772358,-0.851723
IS,ETHUSDT,iter012,126,117,49,38.888889,41.880342,-2.991453
IS,LINKUSDT,baseline,133,146,35,26.315789,23.972603,2.343187
IS,LINKUSDT,iter011,133,149,55,41.353383,36.912752,4.440632
IS,LINKUSDT,iter012,133,138,52,39.097744,37.681159,1.416585
IS,LTCUSDT,baseline,103,124,13,12.621359,10.483871,2.137488
IS,LTCUSDT,iter011,103,104,26,25.242718,25.0,0.242718
IS,LTCUSDT,iter012,103,107,34,33.009709,31.775701,1.234008
IS,PORTFOLIO,baseline,536,621,115,21.455224,18.518519,2.936705
IS,PORTFOLIO,iter011,536,570,194,36.19403,34.035088,2.158942
IS,PORTFOLIO,iter012,536,534,195,36.380597,36.516854,-0.136257
OOS,BTCUSDT,baseline,15,35,1,6.666667,2.857143,3.809524
OOS,BTCUSDT,iter011,15,17,4,26.666667,23.529412,3.137255
OOS,BTCUSDT,iter012,15,19,1,6.666667,5.263158,1.403509
OOS,DOTUSDT,baseline,52,46,15,28.846154,32.608696,-3.762542
OOS,DOTUSDT,iter011,52,48,14,26.923077,29.166667,-2.24359
OOS,DOTUSDT,iter012,52,40,9,17.307692,22.5,-5.192308
OOS,ETHUSDT,baseline,42,46,8,19.047619,17.391304,1.656315
OOS,ETHUSDT,iter011,42,36,17,40.47619,47.222222,-6.746032
OOS,ETHUSDT,iter012,42,45,20,47.619048,44.444444,3.174603
OOS,LINKUSDT,baseline,46,28,4,8.695652,14.285714,-5.590062
OOS,LINKUSDT,iter011,46,47,9,19.565217,19.148936,0.416281
OOS,LINKUSDT,iter012,46,46,13,28.26087,28.26087,0.0
OOS,LTCUSDT,baseline,29,34,2,6.896552,5.882353,1.014199
OOS,LTCUSDT,iter011,29,32,14,48.275862,43.75,4.525862
OOS,LTCUSDT,iter012,29,33,12,41.37931,36.363636,5.015674
OOS,PORTFOLIO,baseline,184,189,30,16.304348,15.873016,0.431332
OOS,PORTFOLIO,iter011,184,180,58,31.521739,32.222222,-0.700483
OOS,PORTFOLIO,iter012,184,183,55,29.891304,30.054645,-0.16334
