symbol,decile,n_trades,mean_dd_at_entry,sum_weighted_pnl_pct,mean_weighted_pnl_pct
BTCUSDT,1,11,0.0000,-14.3734,-1.3067
BTCUSDT,2,11,0.0000,3.1992,0.2908
BTCUSDT,3,11,0.2756,-0.6714,-0.0610
BTCUSDT,4,12,1.2851,-14.4792,-1.2066
BTCUSDT,5,11,2.2346,-13.4948,-1.2268
BTCUSDT,6,11,2.9416,-6.3487,-0.5772
BTCUSDT,7,12,3.6094,22.8341,1.9028
BTCUSDT,8,11,4.4315,12.7048,1.1550
BTCUSDT,9,11,5.3892,8.0397,0.7309
BTCUSDT,10,12,9.6704,-12.4363,-1.0364
ETHUSDT,1,14,0.0000,-11.6560,-0.8326
ETHUSDT,2,15,0.0000,3.4894,0.2326
ETHUSDT,3,14,0.0386,-26.1818,-1.8701
ETHUSDT,4,15,1.2698,8.6180,0.5745
ETHUSDT,5,14,2.2000,-3.3125,-0.2366
ETHUSDT,6,15,3.1965,4.3561,0.2904
ETHUSDT,7,14,4.1259,13.1005,0.9357
ETHUSDT,8,15,5.4121,-11.3932,-0.7595
ETHUSDT,9,14,7.4945,-8.7319,-0.6237
ETHUSDT,10,15,13.9778,15.7384,1.0492
LINKUSDT,1,14,0.0000,6.7733,0.4838
LINKUSDT,2,15,0.0000,34.7662,2.3177
LINKUSDT,3,14,0.0000,-26.0029,-1.8573
LINKUSDT,4,15,0.9068,-20.4116,-1.3608
LINKUSDT,5,15,2.3534,12.6683,0.8446
LINKUSDT,6,14,3.3146,0.4210,0.0301
LINKUSDT,7,15,4.8824,30.0708,2.0047
LINKUSDT,8,14,6.4962,-21.7542,-1.5539
LINKUSDT,9,15,8.2147,9.5819,0.6388
LINKUSDT,10,15,11.5790,70.2878,4.6859
LTCUSDT,1,12,0.0000,7.7241,0.6437
LTCUSDT,2,12,0.0000,3.2300,0.2692
LTCUSDT,3,13,0.0000,-1.1024,-0.0848
LTCUSDT,4,12,0.6928,-5.7200,-0.4767
LTCUSDT,5,13,2.3012,0.3539,0.0272
LTCUSDT,6,12,3.7383,3.5451,0.2954
LTCUSDT,7,12,5.0674,13.7402,1.1450
LTCUSDT,8,13,6.6056,0.4382,0.0337
LTCUSDT,9,12,8.2969,-15.4719,-1.2893
LTCUSDT,10,13,13.6052,-1.8984,-0.1460
DOTUSDT,1,9,0.0000,-15.3354,-1.7039
DOTUSDT,2,9,0.0000,3.9154,0.4350
DOTUSDT,3,9,0.1065,0.8279,0.0920
DOTUSDT,4,10,0.6964,1.4207,0.1421
DOTUSDT,5,9,1.2694,10.7887,1.1987
DOTUSDT,6,9,1.9316,0.3131,0.0348
DOTUSDT,7,10,2.8656,-10.4188,-1.0419
DOTUSDT,8,9,4.1814,-9.5930,-1.0659
DOTUSDT,9,9,6.3703,2.5523,0.2836
DOTUSDT,10,10,10.7706,-0.6592,-0.0659
