symbol,threshold_pct,transitions,on_bars,total_bars,on_share_pct,span_days
BTCUSDT,3.8805,26,1104,3547,31.12,1182.3
ETHUSDT,4.3067,27,1036,3547,29.21,1182.3
LINKUSDT,6.4411,30,1017,3547,28.67,1182.3
LTCUSDT,6.6005,26,1046,3547,29.49,1182.3
DOTUSDT,2.7698,18,1039,3547,29.29,1182.3
