symbol,p50,p75,p85,p90,p95,p99,n_bars,max_dd
BTCUSDT,1.7500,3.8805,4.9883,5.7807,7.9282,12.9124,3547,16.7647
ETHUSDT,1.6069,4.3067,6.0177,7.6383,9.7747,18.8296,3547,20.7844
LINKUSDT,2.6506,6.4411,8.5858,9.5438,12.8802,17.9130,3547,22.8391
LTCUSDT,2.2305,6.6005,9.0733,10.8274,15.5404,18.9794,3547,18.9794
DOTUSDT,0.4332,2.7698,4.1525,6.8584,10.4363,12.6911,3547,15.4523
