family_a,family_b,ic_mean_fisher,ic_median,ic_iqr_low,ic_iqr_high,n_features_a,n_features_b
calendar,calendar,0.004997,0.004997,0.003140,0.006855,2,2
calendar,interaction,-0.004817,-0.004817,nan,nan,2,6
calendar,mean_reversion,0.007162,0.007162,nan,nan,2,26
calendar,momentum,0.013482,0.013482,nan,nan,2,36
calendar,statistical,0.007598,0.007598,nan,nan,2,24
calendar,trend,0.000203,0.000203,nan,nan,2,39
calendar,volatility,0.001397,0.001397,nan,nan,2,40
calendar,volume,-0.007345,-0.007345,nan,nan,2,20
interaction,interaction,-0.008054,-0.015529,-0.019748,0.006382,6,6
interaction,mean_reversion,0.133755,0.133755,nan,nan,6,26
interaction,momentum,0.105155,0.105155,nan,nan,6,36
interaction,statistical,-0.036430,-0.036430,nan,nan,6,24
interaction,trend,0.132125,0.132125,nan,nan,6,39
interaction,volatility,0.191471,0.191471,nan,nan,6,40
interaction,volume,0.103698,0.103698,nan,nan,6,20
mean_reversion,mean_reversion,-0.003697,-0.006896,-0.014117,0.005124,26,26
mean_reversion,momentum,0.317446,0.317446,nan,nan,26,36
mean_reversion,statistical,-0.010614,-0.010614,nan,nan,26,24
mean_reversion,trend,0.164530,0.164530,nan,nan,26,39
mean_reversion,volatility,0.008740,0.008740,nan,nan,26,40
mean_reversion,volume,0.251304,0.251304,nan,nan,26,20
momentum,momentum,-0.013586,-0.017229,-0.018092,-0.009414,36,36
momentum,statistical,0.125937,0.125937,nan,nan,36,24
momentum,trend,0.716621,0.716621,nan,nan,36,39
momentum,volatility,0.056893,0.056893,nan,nan,36,40
momentum,volume,0.743948,0.743948,nan,nan,36,20
statistical,statistical,-0.008215,-0.011248,-0.018641,-0.002950,24,24
statistical,trend,0.128503,0.128503,nan,nan,24,39
statistical,volatility,0.095450,0.095450,nan,nan,24,40
statistical,volume,0.105418,0.105418,nan,nan,24,20
trend,trend,-0.003617,-0.002228,-0.014238,0.005222,39,39
trend,volatility,0.092524,0.092524,nan,nan,39,40
trend,volume,0.694107,0.694107,nan,nan,39,20
volatility,volatility,0.011082,0.010073,0.005536,0.016374,40,40
volatility,volume,0.006378,0.006378,nan,nan,40,20
volume,volume,0.002567,0.002437,-0.012696,0.017699,20,20
