symbol,trades,wins,win_rate,net_pnl_pct,avg_pnl_pct,pct_of_total_pnl
LINKUSDT,48,24,50.0,53.7952,1.1207,107.57
DOTUSDT,50,22,44.0,32.9103,0.6582,65.81
BTCUSDT,52,19,36.5,15.1148,0.2907,30.22
SOLUSDT,51,19,37.3,8.1948,0.1607,16.39
ETHUSDT,53,21,39.6,-28.0728,-0.5297,-56.13
LTCUSDT,47,17,36.2,-31.9324,-0.6794,-63.85
