feature_name,mean_gain,importance_rank
vol_atr_14,4311.2663,1
trend_aroon_osc_50,4005.8783,2
btc_funding_spread_30_90,2701.5404,3
stat_autocorr_lag5,2665.0755,4
vol_bb_bandwidth_20,2175.3995,5
stat_skew_20,2100.4382,6
interact_natr_x_adx,2026.9567,7
trend_adx_14,1807.0158,8
oi_delta_30_z90,1780.1753,9
btc_oi_delta_5_z30,1620.797,10
stat_kurtosis_20,1507.7748,11
vol_natr_14,1492.7425,12
mom_macd_line_12_26_9,1443.5552,13
mom_macd_hist_12_26_9,1257.1089,14
vol_cmf_14,1030.7887,15
long_short_zscore_30,992.2247,16
trend_plus_di_14,890.4878,17
trend_aroon_osc_14,879.0368,18
mr_pct_from_low_20,821.5751,19
interact_rsi_x_adx,725.0009,20
trend_minus_di_14,703.6263,21
funding_rate_zscore_90,657.6953,22
mr_pct_from_high_20,581.0567,23
vol_mfi_14,477.853,24
regime_momentum_signed_5d,429.4831,25
funding_rate_zscore_30,412.5962,26
trend_ema_cross_5_12,350.6687,27
mom_stoch_d_14,279.1081,28
interact_rsi_x_natr,243.1699,29
cal_dow_norm,181.6111,30
mom_rsi_14,180.5562,31
stat_return_5,175.4384,32
interact_stoch_x_adx,171.9386,33
trend_supertrend_14_3,171.7578,34
mom_roc_10,167.7434,35
mom_willr_14,148.7684,36
vol_range_spike_72,133.6021,37
mom_stoch_k_14,122.1115,38
vol_volume_pctchg_5,69.8921,39
vol_volume_rel_20,58.8273,40
vol_range_spike_24,48.632,41
vol_taker_buy_ratio,42.1347,42
interact_ret1_x_ret3,37.9619,43
interact_ret1_x_natr,32.368,44
cal_hour_norm,21.4245,45
stat_log_return_1,18.9031,46
mr_rsi_extreme_14,1.6754,47
dot_vs_btc_ret_ratio_30,0.0,48
eth_vs_btc_ret_ratio_30,0.0,49
