candidate,BCHUSDT,LDOUSDT,TRXUSDT,n_g1_pass
B1_eth_vs_sym_rv_50,0.4738,0.5131,0.4792,1
B1a_log_eth_vs_sym_rv_50,0.4755,0.5048,0.485,1
B1b_eth_vs_sym_rv_25,0.4736,0.472,0.4961,0
B1c_eth_vs_sym_rv_100,0.4739,0.4007,0.4795,0
