book,events,sharpe,win,net_pct,top1,top2,top2_absshare,y2020,y2021,y2022,y2023,y2024,n_trend,n_rev
trend_alone,104,0.40153853387675775,0.5096153846153846,166.9315921272809,0.3591949471597623,0.7095785776184881,0.08348037135595565,0.4215655060340399,1.4176918962773604,-0.28613542867174097,-0.40766622921669493,-0.17423488827615008,,
rev_alone,452,-0.03914404879073637,0.5243362831858407,-7.761400713641793,,,0.028553381244835134,-0.04786611710161222,0.06021154972113929,-0.41797479612456745,1.8423808516161073,-1.3316324350657602,,
R-ADX,230,-0.08589408252663261,0.4782608695652174,-32.45876365276793,,,0.06691702880140504,0.5041078093723746,0.1131705728773892,0.0344030707875666,-1.3911346703832677,-0.5757878913981016,85.0,145.0
R-CONV,199,0.4640912216214266,0.542713567839196,197.0468013602344,0.279411399409283,0.540668276631545,0.06286168224224718,0.3132349193192649,1.9493614184967378,-0.6312967329406095,-0.04148105159495176,-0.10992922683154155,109.0,90.0
