rule,gate,frac_pos,dispersion,worst,recent,n_scored,n_trades,win_rate,sharpe_2020-01-01,sharpe_2020-07-01,sharpe_2020-12-31,sharpe_2021-07-01,sharpe_2021-12-31,sharpe_2022-07-01,sharpe_2022-12-31,sharpe_2023-07-01,sharpe_2023-12-31,sharpe_2024-06-30,sharpe_2024-12-30
A_structural_long,ungated,0.6,1.9877,-2.1867,-2.0959,10,5137,0.5515,,4.096,-0.0539,0.8073,-2.1867,-0.7196,2.1346,1.9326,1.0676,1.9525,-2.0959
A_structural_long,vol_p50,0.8,2.2684,-1.6354,-1.6354,10,1910,0.5728,,5.6938,0.0251,1.9981,-0.7735,1.0546,2.8723,3.5516,0.0338,3.2229,-1.6354
B_trend_state_200sma,ungated,0.7,1.3191,-2.4677,1.551,10,5137,0.5145,,2.0264,1.0842,-0.2968,1.4801,-2.4677,-0.638,0.8391,0.4026,0.1211,1.551
B_trend_state_200sma,vol_p50,0.6,2.0785,-1.7638,0.3097,10,1910,0.567,,5.0573,1.1988,0.3194,0.4926,-1.7638,-0.3266,3.7851,-0.5723,-0.3819,0.3097
C_donchian_breakout_20,ungated,,,,,0,0,,,,,,,,,,,,
C_donchian_breakout_20,vol_p50,,,,,0,0,,,,,,,,,,,,
D_supertrend_14_3,ungated,0.6,1.7482,-1.8745,0.1716,10,5137,0.5207,,4.3044,-0.8857,0.2323,0.7658,-1.8745,-0.44,0.7445,2.0686,-0.8717,0.1716
D_supertrend_14_3,vol_p50,0.5,1.9247,-1.418,-1.418,10,1910,0.5173,,4.5292,-0.8245,0.7119,-0.2703,-1.0425,0.0358,3.1897,0.1948,-0.5648,-1.418
