book,quantile,frac_pos,dispersion,worst_sub,recent_sub,n_scored,n_trades,retention,sharpe_2020-01-01,sharpe_2020-07-01,sharpe_2020-12-31,sharpe_2021-07-01,sharpe_2021-12-31,sharpe_2022-07-01,sharpe_2022-12-31,sharpe_2023-07-01,sharpe_2023-12-31,sharpe_2024-06-30,sharpe_2024-12-30
ungated,,0.6,1.9877,-2.1867,-2.0959,10,,,,4.096,-0.0539,0.8073,-2.1867,-0.7196,2.1346,1.9326,1.0676,1.9525,-2.0959
model_gate_p50,0.5,0.6,2.5062,-3.3832,-3.3832,10,3347.0,0.652,,3.8881,-0.6854,0.924,-2.324,-0.9706,2.2115,2.3158,0.5283,3.9999,-3.3832
model_gate_p60,0.6,0.6,3.0071,-4.9976,-4.9976,10,2663.0,0.518,,3.5675,-2.1298,1.124,-2.5904,-0.9232,1.9993,2.2747,0.6542,4.6983,-4.9976
model_gate_p70,0.7,0.6,3.7463,-8.2478,-8.2478,10,1859.0,0.362,,2.7932,-3.707,1.2863,-3.1769,-1.0943,1.2997,2.0825,1.3347,4.1324,-8.2478
naive_gate_p50,0.5,0.8,2.2684,-1.6354,-1.6354,10,1910.0,0.372,,5.6938,0.0251,1.9981,-0.7735,1.0546,2.8723,3.5516,0.0338,3.2229,-1.6354
naive_gate_p60,0.6,0.7,2.5394,-2.8557,-2.8557,10,1483.0,0.289,,5.7958,0.0981,2.4756,-0.5312,1.1151,3.4526,3.3799,-0.3582,3.1348,-2.8557
naive_gate_p70,0.7,0.7,3.2599,-5.9372,-5.9372,10,1112.0,0.216,,6.2274,0.2793,2.9826,-0.0108,0.8953,3.0734,3.0642,-0.2811,3.427,-5.9372
