book,full,frac_pos,dispersion,worst,recent,n_scored,n_trades,win_rate,mean_ret_pct,sharpe_2020-01-01,sharpe_2020-07-01,sharpe_2020-12-31,sharpe_2021-07-01,sharpe_2021-12-31,sharpe_2022-07-01,sharpe_2022-12-31,sharpe_2023-07-01,sharpe_2023-12-31,sharpe_2024-06-30,sharpe_2024-12-30
BOOK1_lgbm_dir,0.1885,0.7,0.752,-0.9582,0.7779,10,5075,0.5297,0.4627,,0.342,-0.023,1.492,-0.958,0.302,-0.742,0.818,0.885,0.065,0.778
BOOK2_trend_state,0.4459,0.7,1.4131,-2.5551,1.4505,10,5075,0.5082,1.0905,,2.554,1.042,-0.351,1.431,-2.555,-0.701,0.75,0.334,0.054,1.45
BOOK3_trend_state+mag_meta,0.2432,0.6,1.5978,-2.5903,3.3339,10,3810,0.4895,0.6169,,1.892,0.754,-0.303,1.322,-2.59,-0.692,0.713,-0.237,0.182,3.334
