window,pair,half_life,n_trades,gross_pnl,net_pnl
1,EOSUSDT-VETUSDT,53.68,1,-0.12463,-0.12663
5,CRVUSDT-VETUSDT,75.68,0,0.0,0.0
5,ADAUSDT-CRVUSDT,82.41,0,0.0,0.0
5,CRVUSDT-ATOMUSDT,54.67,0,0.0,0.0
5,CRVUSDT-TRXUSDT,75.31,1,-0.40893,-0.41093
5,CRVUSDT-ALGOUSDT,53.11,0,0.0,0.0
6,CRVUSDT-VETUSDT,79.68,0,0.0,0.0
6,AVAXUSDT-FTMUSDT,85.31,0,0.0,0.0
6,ADAUSDT-CRVUSDT,90.05,0,0.0,0.0
6,CRVUSDT-ATOMUSDT,55.22,0,0.0,0.0
6,AAVEUSDT-THETAUSDT,111.82,1,0.51994,0.51794
6,FILUSDT-EOSUSDT,29.38,0,0.0,0.0
6,CRVUSDT-ALGOUSDT,54.41,0,0.0,0.0
7,CRVUSDT-VETUSDT,74.98,0,0.0,0.0
7,ADAUSDT-CRVUSDT,89.13,0,0.0,0.0
7,FILUSDT-BCHUSDT,66.44,0,0.0,0.0
7,CRVUSDT-ATOMUSDT,53.86,0,0.0,0.0
7,AVAXUSDT-FTMUSDT,83.61,0,0.0,0.0
7,AAVEUSDT-THETAUSDT,98.81,0,0.0,0.0
7,FILUSDT-EOSUSDT,29.69,0,0.0,0.0
7,CRVUSDT-ALGOUSDT,55.79,0,0.0,0.0
8,ADAUSDT-FILUSDT,218.15,0,0.0,0.0
8,CRVUSDT-VETUSDT,74.21,0,0.0,0.0
8,THETAUSDT-VETUSDT,61.52,0,0.0,0.0
8,ADAUSDT-CRVUSDT,88.76,0,0.0,0.0
8,FILUSDT-BCHUSDT,65.71,0,0.0,0.0
8,CRVUSDT-ATOMUSDT,53.76,0,0.0,0.0
8,AVAXUSDT-FTMUSDT,82.61,0,0.0,0.0
8,ADAUSDT-RUNEUSDT,79.23,0,0.0,0.0
8,AAVEUSDT-THETAUSDT,96.94,0,0.0,0.0
8,FILUSDT-EOSUSDT,29.17,1,-0.01684,-0.01884
8,CRVUSDT-TRXUSDT,97.65,0,0.0,0.0
8,CRVUSDT-ALGOUSDT,59.5,0,0.0,0.0
9,ADAUSDT-FILUSDT,218.31,0,0.0,0.0
9,FILUSDT-BCHUSDT,64.72,0,0.0,0.0
9,AVAXUSDT-FTMUSDT,83.88,0,0.0,0.0
9,AAVEUSDT-THETAUSDT,96.36,0,0.0,0.0
9,FILUSDT-EOSUSDT,33.46,0,0.0,0.0
9,ADAUSDT-GRTUSDT,153.86,0,0.0,0.0
9,AAVEUSDT-GRTUSDT,58.81,0,0.0,0.0
10,ADAUSDT-FILUSDT,211.71,0,0.0,0.0
10,RUNEUSDT-VETUSDT,57.02,0,0.0,0.0
10,AAVEUSDT-THETAUSDT,92.22,0,0.0,0.0
10,AVAXUSDT-FTMUSDT,87.28,0,0.0,0.0
10,CRVUSDT-GRTUSDT,106.26,0,0.0,0.0
10,FILUSDT-EOSUSDT,36.12,0,0.0,0.0
10,ADAUSDT-GRTUSDT,155.05,0,0.0,0.0
10,AAVEUSDT-GRTUSDT,58.92,0,0.0,0.0
11,BCHUSDT-AAVEUSDT,83.76,0,0.0,0.0
11,ADAUSDT-FILUSDT,145.4,0,0.0,0.0
11,RUNEUSDT-VETUSDT,59.73,0,0.0,0.0
11,AVAXUSDT-FTMUSDT,88.96,0,0.0,0.0
11,FILUSDT-EOSUSDT,35.26,0,0.0,0.0
11,AAVEUSDT-THETAUSDT,102.52,0,0.0,0.0
11,EOSUSDT-AAVEUSDT,64.2,0,0.0,0.0
11,RUNEUSDT-GRTUSDT,120.17,0,0.0,0.0
11,ADAUSDT-GRTUSDT,154.5,0,0.0,0.0
11,AAVEUSDT-GRTUSDT,59.64,0,0.0,0.0
11,CRVUSDT-ALGOUSDT,67.03,0,0.0,0.0
12,ADAUSDT-EOSUSDT,98.82,0,0.0,0.0
12,BCHUSDT-AAVEUSDT,65.17,0,0.0,0.0
12,ADAUSDT-FILUSDT,85.0,0,0.0,0.0
12,EOSUSDT-THETAUSDT,62.21,0,0.0,0.0
12,RUNEUSDT-VETUSDT,59.12,0,0.0,0.0
12,FILUSDT-AAVEUSDT,58.31,0,0.0,0.0
12,AVAXUSDT-FTMUSDT,96.16,0,0.0,0.0
12,ALGOUSDT-HBARUSDT,29.8,1,0.21545,0.21345
12,FILUSDT-EOSUSDT,36.13,0,0.0,0.0
12,ADAUSDT-BCHUSDT,112.71,0,0.0,0.0
12,AAVEUSDT-THETAUSDT,101.04,0,0.0,0.0
12,EOSUSDT-AAVEUSDT,45.54,0,0.0,0.0
12,RUNEUSDT-GRTUSDT,95.86,0,0.0,0.0
12,ADAUSDT-GRTUSDT,119.42,0,0.0,0.0
12,AAVEUSDT-GRTUSDT,46.21,0,0.0,0.0
12,CRVUSDT-ALGOUSDT,57.31,0,0.0,0.0
13,ADAUSDT-FILUSDT,95.01,0,0.0,0.0
13,ADAUSDT-BCHUSDT,89.03,0,0.0,0.0
13,AVAXUSDT-FTMUSDT,69.42,0,0.0,0.0
13,AAVEUSDT-GRTUSDT,53.48,0,0.0,0.0
13,BCHUSDT-VETUSDT,86.24,0,0.0,0.0
13,CRVUSDT-ALGOUSDT,59.31,0,0.0,0.0
13,ADAUSDT-EOSUSDT,103.11,0,0.0,0.0
13,BCHUSDT-AAVEUSDT,60.71,0,0.0,0.0
13,RUNEUSDT-VETUSDT,61.48,0,0.0,0.0
13,ADAUSDT-ALGOUSDT,80.64,0,0.0,0.0
13,ALGOUSDT-HBARUSDT,30.73,1,-0.21126,-0.21326
13,EOSUSDT-VETUSDT,91.21,0,0.0,0.0
13,EOSUSDT-AAVEUSDT,43.54,0,0.0,0.0
13,FILUSDT-EOSUSDT,37.02,0,0.0,0.0
13,ADAUSDT-GRTUSDT,130.59,0,0.0,0.0
13,AAVEUSDT-THETAUSDT,86.98,0,0.0,0.0
13,EOSUSDT-THETAUSDT,59.19,0,0.0,0.0
13,FILUSDT-AAVEUSDT,62.52,0,0.0,0.0
13,BCHUSDT-RUNEUSDT,72.02,0,0.0,0.0
13,TRXUSDT-HBARUSDT,65.02,0,0.0,0.0
14,TRXUSDT-RUNEUSDT,65.41,0,0.0,0.0
14,FILUSDT-THETAUSDT,19.67,1,0.27341,0.27141
14,TRXUSDT-ALGOUSDT,70.69,0,0.0,0.0
14,ICPUSDT-ALGOUSDT,81.67,0,0.0,0.0
14,AAVEUSDT-GRTUSDT,56.06,0,0.0,0.0
