symbol,offset_h,n_rows,n_pos,n_neg,p_label_1
BCHUSDT,0,1688,1674,14,0.9917
BCHUSDT,8,1689,1673,16,0.9905
BCHUSDT,16,1689,1675,14,0.9917
BCHUSDT,POOLED,5066,5022,44,0.9913
LDOUSDT,0,693,471,222,0.6797
LDOUSDT,8,693,463,230,0.6681
LDOUSDT,16,694,475,219,0.6844
LDOUSDT,POOLED,2080,1409,671,0.6774
TRXUSDT,0,1669,980,689,0.5872
TRXUSDT,8,1669,995,674,0.5962
TRXUSDT,16,1670,991,679,0.5934
TRXUSDT,POOLED,5008,2966,2042,0.5923
