symbol,n_rows,n_folds,auc,per_fold
BCHUSDT,5108,5,0.4778,+0.480;+0.576;+0.386;+0.607;+0.340
LDOUSDT,2122,5,0.5201,+0.457;+0.568;+0.468;+0.552;+0.554
TRXUSDT,5050,5,0.5092,+0.476;+0.525;+0.555;+0.412;+0.577
POOLED,12280,5,0.5823,+0.583;+0.624;+0.604;+0.667;+0.434
