symbol,offset_h,n_rows,auc,n_folds
BCHUSDT,0,1702,0.6213,5
BCHUSDT,8,1703,0.5028,5
BCHUSDT,16,1703,0.4628,5
LDOUSDT,0,707,0.5485,5
LDOUSDT,8,707,0.5084,5
LDOUSDT,16,708,0.4734,5
TRXUSDT,0,1683,0.459,5
TRXUSDT,8,1683,0.5092,5
TRXUSDT,16,1684,0.5455,5
