model,observed_auc,null_q50,null_q95,p_value,clears_q95,n_perm
24h-multioffset BCHUSDT,0.4778,0.4845,0.5848,0.53,False,100
24h-multioffset LDOUSDT,0.5201,0.4991,0.5323,0.18,False,100
24h-multioffset TRXUSDT,0.5092,0.4993,0.5147,0.17,False,100
24h-multioffset POOLED,0.5823,0.5005,0.5104,0.0,True,100
