symbol,offset_h,n_audited,n_passed,n_bars_total,all_pass
BCHUSDT,0,100,100,1909,True
BCHUSDT,8,100,100,1910,True
BCHUSDT,16,100,100,1910,True
LDOUSDT,0,100,100,914,True
LDOUSDT,8,100,100,914,True
LDOUSDT,16,100,100,915,True
TRXUSDT,0,100,100,1890,True
TRXUSDT,8,100,100,1892,True
TRXUSDT,16,100,100,1893,True
