feature_name,mean_gain,importance_rank
vol_atr_14,7454.3551,1
trend_aroon_osc_50,5266.609,2
stat_autocorr_lag5,4427.6679,3
trend_adx_14,2985.4132,4
interact_natr_x_adx,2870.1134,5
vol_natr_14,2690.8332,6
stat_kurtosis_20,2625.0734,7
funding_rate_zscore_90,2608.7049,8
stat_skew_20,2468.0799,9
mom_macd_line_12_26_9,2292.9472,10
vol_bb_bandwidth_20,1986.6783,11
funding_rate_zscore_30,1915.4,12
mom_macd_hist_12_26_9,1113.9731,13
trend_minus_di_14,1082.8705,14
vol_cmf_14,1073.0069,15
mr_pct_from_low_20,980.0197,16
vol_mfi_14,855.5747,17
trend_plus_di_14,838.0977,18
mr_pct_from_high_20,752.0599,19
trend_supertrend_14_3,603.2445,20
trend_aroon_osc_14,515.6995,21
interact_rsi_x_adx,504.7463,22
vol_range_spike_72,439.8595,23
mom_stoch_d_14,384.4253,24
trend_ema_cross_5_12,351.5198,25
interact_rsi_x_natr,342.4442,26
interact_stoch_x_adx,340.5908,27
vol_taker_buy_ratio,295.6088,28
mom_rsi_14,265.095,29
mom_stoch_k_14,254.8845,30
mom_roc_10,248.3245,31
stat_return_5,238.436,32
vol_volume_rel_20,236.5601,33
mom_willr_14,224.5433,34
vol_range_spike_24,211.2877,35
vol_volume_pctchg_5,195.1259,36
interact_ret1_x_ret3,176.25,37
cal_dow_norm,128.9879,38
interact_ret1_x_natr,99.769,39
stat_log_return_1,89.7592,40
cal_hour_norm,14.4549,41
mr_rsi_extreme_14,2.4524,42
