feature_name,mean_gain,importance_rank
vol_atr_14,5053.2923,1
stat_autocorr_lag5,4113.2837,2
trend_aroon_osc_50,4038.3486,3
trend_adx_14,3063.3688,4
stat_skew_20,2225.6809,5
mom_macd_line_12_26_9,2203.8057,6
stat_kurtosis_20,2086.0484,7
interact_natr_x_adx,1904.0302,8
vol_natr_14,1673.8891,9
funding_rate_zscore_90,1573.2944,10
mom_macd_hist_12_26_9,1181.0273,11
vol_cmf_14,1175.5516,12
vol_bb_bandwidth_20,983.719,13
trend_minus_di_14,867.1853,14
mr_pct_from_high_20,866.6429,15
mr_pct_from_low_20,849.2317,16
vol_mfi_14,622.1443,17
funding_rate_zscore_30,603.6128,18
trend_plus_di_14,508.1072,19
interact_rsi_x_adx,471.1579,20
interact_rsi_x_natr,408.1912,21
mom_rsi_14,381.0642,22
trend_aroon_osc_14,320.377,23
trend_supertrend_14_3,300.1175,24
mom_stoch_d_14,299.8474,25
trend_ema_cross_5_12,295.1328,26
interact_stoch_x_adx,254.336,27
mom_willr_14,241.6482,28
mom_stoch_k_14,180.4161,29
vol_range_spike_72,171.5038,30
cal_dow_norm,128.6566,31
mom_roc_10,114.1724,32
stat_return_5,84.7017,33
vol_volume_rel_20,84.5691,34
vol_range_spike_24,77.5693,35
vol_volume_pctchg_5,66.7722,36
stat_log_return_1,55.4283,37
vol_taker_buy_ratio,48.4991,38
interact_ret1_x_natr,37.741,39
interact_ret1_x_ret3,34.128,40
cal_hour_norm,1.8998,41
mr_rsi_extreme_14,0.2067,42
