feature_name,mean_gain,importance_rank
vol_atr_14,21834.0951,1
trend_aroon_osc_50,18355.3777,2
stat_autocorr_lag5,15464.6607,3
interact_natr_x_adx,9981.8061,4
stat_kurtosis_20,9507.3853,5
stat_skew_20,9495.1193,6
trend_adx_14,9266.4762,7
vol_natr_14,7765.5996,8
mom_macd_line_12_26_9,7703.1035,9
funding_rate_zscore_90,6605.7202,10
vol_bb_bandwidth_20,5657.7087,11
funding_rate_zscore_30,4539.7478,12
vol_cmf_14,4153.6862,13
mom_macd_hist_12_26_9,3960.3768,14
trend_minus_di_14,3739.5333,15
mr_pct_from_low_20,3512.9673,16
trend_plus_di_14,3324.014,17
mr_pct_from_high_20,2981.8689,18
vol_mfi_14,2790.0781,19
interact_rsi_x_adx,2092.0813,20
trend_aroon_osc_14,1882.0116,21
trend_supertrend_14_3,1692.6758,22
mom_stoch_d_14,1318.4267,23
interact_rsi_x_natr,1311.8522,24
trend_ema_cross_5_12,1163.7659,25
interact_stoch_x_adx,1119.6316,26
vol_range_spike_72,1098.1377,27
mom_willr_14,1041.2041,28
mom_stoch_k_14,1029.5582,29
mom_rsi_14,1008.4244,30
stat_return_5,764.4367,31
vol_taker_buy_ratio,727.6761,32
mom_roc_10,710.9463,33
vol_volume_rel_20,672.3423,34
cal_dow_norm,586.3334,35
vol_volume_pctchg_5,579.7864,36
interact_ret1_x_ret3,576.4857,37
vol_range_spike_24,525.2689,38
interact_ret1_x_natr,343.2364,39
stat_log_return_1,313.8806,40
cal_hour_norm,56.0972,41
mr_rsi_extreme_14,3.765,42
