feature_name,mean_gain,importance_rank
vol_atr_14,593.3134,1
trend_aroon_osc_50,340.3824,2
stat_kurtosis_20,275.5176,3
stat_autocorr_lag5,257.7894,4
stat_skew_20,184.2578,5
trend_aroon_osc_14,173.7524,6
interact_natr_x_adx,141.6034,7
vol_natr_14,122.6872,8
vol_bb_bandwidth_20,118.5878,9
funding_rate_zscore_30,108.6803,10
trend_adx_14,105.0234,11
mom_macd_line_12_26_9,96.2201,12
funding_rate_zscore_90,92.4347,13
trend_plus_di_14,87.3784,14
vol_mfi_14,68.1388,15
interact_ret1_x_ret3,65.9196,16
mom_macd_hist_12_26_9,61.6204,17
vol_taker_buy_ratio,58.4023,18
trend_minus_di_14,58.0558,19
mom_stoch_d_14,57.8865,20
vol_cmf_14,56.6624,21
mr_pct_from_high_20,47.6144,22
interact_rsi_x_adx,46.7721,23
mom_willr_14,46.4424,24
vol_volume_pctchg_5,46.0116,25
vol_range_spike_72,39.1437,26
trend_ema_cross_5_12,35.9795,27
vol_range_spike_24,34.2209,28
vol_volume_rel_20,33.9738,29
mr_pct_from_low_20,31.8847,30
stat_return_5,29.4536,31
interact_rsi_x_natr,28.4025,32
stat_log_return_1,27.4881,33
mom_stoch_k_14,24.2857,34
cal_dow_norm,23.5358,35
interact_stoch_x_adx,22.5928,36
mom_rsi_14,20.6785,37
interact_ret1_x_natr,19.8286,38
mom_roc_10,10.6503,39
trend_supertrend_14_3,3.7438,40
cal_hour_norm,1.5569,41
mr_rsi_extreme_14,0.0,42
