feature_name,mean_gain,importance_rank
trend_aroon_osc_50,4884.7347,1
stat_autocorr_lag5,4429.7926,2
vol_atr_14,4349.6658,3
interact_natr_x_adx,3786.6869,4
stat_skew_20,2829.9583,5
stat_kurtosis_20,2625.6923,6
trend_adx_14,1680.5104,7
vol_natr_14,1391.1964,8
vol_bb_bandwidth_20,1380.1666,9
mom_macd_line_12_26_9,1271.8787,10
trend_plus_di_14,1233.591,11
funding_rate_zscore_90,1124.8399,12
vol_cmf_14,1030.6345,13
mr_pct_from_low_20,947.2725,14
trend_minus_di_14,864.6655,15
mr_pct_from_high_20,816.9469,16
mom_macd_hist_12_26_9,751.1877,17
interact_rsi_x_adx,736.4999,18
funding_rate_zscore_30,722.3954,19
trend_supertrend_14_3,608.2461,20
vol_mfi_14,563.2245,21
trend_aroon_osc_14,420.7732,22
mom_stoch_k_14,324.4967,23
mom_stoch_d_14,319.3802,24
mom_willr_14,305.9883,25
trend_ema_cross_5_12,256.9488,26
interact_stoch_x_adx,219.1511,27
mom_rsi_14,188.6948,28
vol_range_spike_72,165.8719,29
interact_rsi_x_natr,157.5804,30
mom_roc_10,136.4119,31
cal_dow_norm,121.212,32
stat_return_5,112.849,33
interact_ret1_x_ret3,81.7894,34
vol_volume_rel_20,73.1973,35
vol_volume_pctchg_5,71.8381,36
vol_taker_buy_ratio,64.2227,37
interact_ret1_x_natr,56.0929,38
vol_range_spike_24,51.8096,39
stat_log_return_1,39.971,40
cal_hour_norm,2.9703,41
mr_rsi_extreme_14,0.5208,42
