feature_name,mean_gain,importance_rank
vol_atr_14,700.7231,1
stat_autocorr_lag5,460.9152,2
trend_aroon_osc_50,418.9983,3
stat_kurtosis_20,349.0426,4
trend_adx_14,328.4216,5
funding_rate_zscore_90,320.3127,6
vol_natr_14,314.149,7
interact_natr_x_adx,303.1809,8
stat_skew_20,292.6719,9
vol_bb_bandwidth_20,285.6608,10
vol_mfi_14,198.8949,11
trend_plus_di_14,195.2706,12
funding_rate_zscore_30,190.0706,13
mom_macd_line_12_26_9,189.3124,14
vol_cmf_14,181.219,15
vol_taker_buy_ratio,167.8417,16
trend_aroon_osc_14,167.0061,17
mom_macd_hist_12_26_9,162.3261,18
trend_minus_di_14,150.9488,19
stat_return_5,150.7879,20
mr_pct_from_low_20,145.7877,21
vol_range_spike_72,137.9434,22
vol_volume_rel_20,137.6456,23
mom_stoch_d_14,127.9255,24
interact_ret1_x_ret3,125.0371,25
interact_stoch_x_adx,117.5595,26
vol_volume_pctchg_5,109.62,27
mr_pct_from_high_20,95.8114,28
mom_willr_14,87.1236,29
vol_range_spike_24,85.2615,30
cal_dow_norm,76.5188,31
interact_ret1_x_natr,73.8798,32
mom_stoch_k_14,72.2572,33
mom_roc_10,68.4766,34
interact_rsi_x_adx,65.9462,35
trend_ema_cross_5_12,64.2573,36
stat_log_return_1,62.6227,37
interact_rsi_x_natr,58.2528,38
mom_rsi_14,55.0204,39
cal_hour_norm,23.9361,40
trend_supertrend_14_3,18.417,41
mr_rsi_extreme_14,0.5851,42
