symbol,regime,n,cur_tp_dist_pct_p50,ewma_tp_dist_pct_p50,cur_sl_dist_pct_p50,ewma_sl_dist_pct_p50,ratio_tp_p50,ratio_sl_p50
BTCUSDT,low,1902,5.0563067288774874,5.913614861105568,2.5281533644387437,2.956807430552784,1.144647100087509,1.144647100087509
BTCUSDT,normal,1903,7.004845657981607,7.806825230676107,3.5024228289908037,3.9034126153380533,1.133689389532794,1.133689389532794
BTCUSDT,high,1902,10.152974763531795,10.99430751127564,5.076487381765897,5.49715375563782,1.1113816668373688,1.1113816668373688
ETHUSDT,low,1902,6.463502838844254,7.25944453761474,3.231751419422127,3.62972226880737,1.0828483081725375,1.0828483081725375
ETHUSDT,normal,1903,8.977615157085582,10.052848107162907,4.488807578542791,5.0264240535814535,1.1238016327697886,1.1238016327697886
ETHUSDT,high,1902,12.964077959890172,14.291247179184598,6.482038979945086,7.145623589592299,1.127158764572922,1.127158764572922
LINKUSDT,low,1886,10.799989242509742,10.449761025059772,5.399994621254871,5.224880512529886,0.9432477131016275,0.9432477131016275
LINKUSDT,normal,1886,15.710607646480643,14.230862441944005,7.855303823240321,7.1154312209720025,0.9103473986179317,0.9103473986179317
LINKUSDT,high,1886,21.86516839662178,19.366085834627917,10.93258419831089,9.683042917313958,0.9129547410234244,0.9129547410234244
LTCUSDT,low,1889,8.763167148483854,8.296042338778706,4.381583574241927,4.148021169389353,0.9323689556637156,0.9323689556637156
LTCUSDT,normal,1889,13.19057374441054,12.12411877389855,6.59528687220527,6.062059386949275,0.9340285978005819,0.9340285978005819
LTCUSDT,high,1889,18.78804424124216,16.41657933060124,9.39402212062108,8.20828966530062,0.8942383806195768,0.8942383806195768
DOTUSDT,low,1668,9.263536125597312,9.01622556256865,4.631768062798656,4.508112781284325,0.9434431795995792,0.9434431795995792
DOTUSDT,normal,1669,14.706431898754762,13.790045370514441,7.353215949377381,6.895022685257221,0.9233930234074514,0.9233930234074514
DOTUSDT,high,1668,20.998818575844275,19.45483002581757,10.499409287922138,9.727415012908786,0.9608652553657439,0.9608652553657439
