,max_dd_window_50,ema_spread_atr_20,ret_kurt_50,ret_skew_200,range_realized_vol_50,hurst_diff_100_50,ret_kurt_200,hurst_100,btc_ret_14d,ret_skew_50,vwap_dev_20,ret_autocorr_lag1_50,sym_vs_btc_ret_7d
max_dd_window_50,1.0,0.4765592165233906,0.0062311472164736,0.0019394485444497,-0.6601547513516433,-0.0658590245564445,-0.0053880704004562,-0.1771948400367456,0.3653548486261337,0.1268384371394859,0.1411236763298491,-0.1218809949046205,0.1287219334382907
ema_spread_atr_20,0.4765592165233906,1.0,-0.0126647992302327,0.1174744110855457,-0.0372073394070118,-0.0103816910010084,0.0213502510403567,0.0172243231895316,0.5075208592366603,0.3889595174494248,0.5472651313887698,0.0110386603865475,0.5070218213475454
ret_kurt_50,0.0062311472164736,-0.0126647992302327,1.0,0.117980776708195,0.0862326762435257,-0.0194672440306158,0.307966062795929,-0.1174109069960134,-0.0558764745246833,0.1295081723407028,-0.0375115855990797,0.0643054739987267,0.0435438583938007
ret_skew_200,0.0019394485444497,0.1174744110855457,0.117980776708195,1.0,0.1172961632631585,0.0275528628476951,0.5925207682655798,0.0724036657141207,0.0484865763735157,0.3768086650181977,0.0120280803964416,0.0612080215271403,0.1064133117402688
range_realized_vol_50,-0.6601547513516433,-0.0372073394070118,0.0862326762435257,0.1172961632631585,1.0,0.0215281805470527,-0.0218461237238267,0.1406212871056196,-0.19701478300801,0.0905086297473487,-0.0423070903081006,0.1171561428168619,0.0929213965318016
hurst_diff_100_50,-0.0658590245564445,-0.0103816910010084,-0.0194672440306158,0.0275528628476951,0.0215281805470527,1.0,0.0040840884372737,0.4929253587990028,-0.054081377794717,0.0275582518996288,-0.0148710627879157,-0.0118363232267781,0.0373143485151136
ret_kurt_200,-0.0053880704004562,0.0213502510403567,0.307966062795929,0.5925207682655798,-0.0218461237238267,0.0040840884372737,1.0,-0.0192876111435119,-0.0085619487235691,0.1084513246354297,-0.0040505060065483,0.0344193526050825,0.0382331813227671
hurst_100,-0.1771948400367456,0.0172243231895316,-0.1174109069960134,0.0724036657141207,0.1406212871056196,0.4929253587990028,-0.0192876111435119,1.0,-0.0757127038905383,0.0738889738898256,0.0136402245482377,-0.0144656751352666,0.0481637605625235
btc_ret_14d,0.3653548486261337,0.5075208592366603,-0.0558764745246833,0.0484865763735157,-0.19701478300801,-0.054081377794717,-0.0085619487235691,-0.0757127038905383,1.0,0.2256402500151024,0.2819190650893883,-0.1120372536954015,-0.0636053604592285
ret_skew_50,0.1268384371394859,0.3889595174494248,0.1295081723407028,0.3768086650181977,0.0905086297473487,0.0275582518996288,0.1084513246354297,0.0738889738898256,0.2256402500151024,1.0,0.1452470070683975,0.0239451801895588,0.2095352890363101
vwap_dev_20,0.1411236763298491,0.5472651313887698,-0.0375115855990797,0.0120280803964416,-0.0423070903081006,-0.0148710627879157,-0.0040505060065483,0.0136402245482377,0.2819190650893883,0.1452470070683975,1.0,0.0180275335258764,0.4736213374005733
ret_autocorr_lag1_50,-0.1218809949046205,0.0110386603865475,0.0643054739987267,0.0612080215271403,0.1171561428168619,-0.0118363232267781,0.0344193526050825,-0.0144656751352666,-0.1120372536954015,0.0239451801895588,0.0180275335258764,1.0,0.0923572356474417
sym_vs_btc_ret_7d,0.1287219334382907,0.5070218213475454,0.0435438583938007,0.1064133117402688,0.0929213965318016,0.0373143485151136,0.0382331813227671,0.0481637605625235,-0.0636053604592285,0.2095352890363101,0.4736213374005733,0.0923572356474417,1.0
