rank,feature
1,max_dd_window_50
2,ema_spread_atr_20
3,ret_kurt_50
4,ret_skew_200
5,range_realized_vol_50
6,hurst_diff_100_50
7,ret_kurt_200
8,hurst_100
9,btc_ret_14d
10,ret_skew_50
11,vwap_dev_20
12,ret_autocorr_lag1_50
13,sym_vs_btc_ret_7d
