window,tranche,n,directional_hit_rate,mean_weighted_pnl
in_sample,low_edge_third,57,0.1754,-0.6918
in_sample,mid_edge_third,57,0.2632,-0.7548
in_sample,high_edge_third,57,0.807,2.8182
out_of_sample,low_edge_third,31,0.129,-0.7542
out_of_sample,mid_edge_third,31,0.4194,-0.5125
out_of_sample,high_edge_third,31,0.6129,1.9985
