window,n,n_tp,n_sl,n_timeout,realized_win_rate,breakeven_win_rate,wr_excess_over_breakeven,tp_share_of_tp_sl,geom_expectation_atr_units,mean_net_pnl_pct_per_trade
in_sample,171,56,100,15,0.4152,0.3333,0.0819,0.359,0.0769,0.6671
out_of_sample,93,35,55,3,0.3871,0.3333,0.0538,0.3889,0.1667,0.1987
