quantity,value
observed_lgbm_auc_real_labels,0.497
permutation_null_mean,0.5014
permutation_null_q05,0.4828
permutation_null_q50,0.5003
permutation_null_q95,0.5228
permutation_p_value,0.64
n_permutations,100.0
