symbol,third,model,lgbm_auc,model_auc,lift
BCHUSDT,0,M_mlp,0.5092432726777175,0.5130557716241393,0.003812498946421772
BCHUSDT,0,T_temporal_mlp,0.5092432726777175,0.4835236955132666,-0.02571957716445089
BCHUSDT,0,C_logistic,0.5092432726777175,0.43064887701374593,-0.07859439566397158
BCHUSDT,1,M_mlp,0.4824821081607245,0.451279934700084,-0.031202173460640525
BCHUSDT,1,T_temporal_mlp,0.4824821081607245,0.47139320271265006,-0.011088905448074449
BCHUSDT,1,C_logistic,0.4824821081607245,0.4220180682390613,-0.060464039921663215
BCHUSDT,2,M_mlp,0.49320734148609247,0.477243400505059,-0.015963940981033486
BCHUSDT,2,T_temporal_mlp,0.49320734148609247,0.4728250795739218,-0.020382261912170685
BCHUSDT,2,C_logistic,0.49320734148609247,0.4837833125754474,-0.009424028910645088
LDOUSDT,0,M_mlp,0.4607285062379887,0.4769625882134445,0.016234081975455783
LDOUSDT,0,T_temporal_mlp,0.4607285062379887,0.4552978585685299,-0.005430647669458832
LDOUSDT,0,C_logistic,0.4607285062379887,0.4188541442637477,-0.04187436197424105
LDOUSDT,1,M_mlp,0.5908828015533469,0.5026720923925048,-0.08821070916084217
LDOUSDT,1,T_temporal_mlp,0.5908828015533469,0.5128226794914796,-0.0780601220618673
LDOUSDT,1,C_logistic,0.5908828015533469,0.4946857552575488,-0.09619704629579812
LDOUSDT,2,M_mlp,0.5059976695986924,0.5011433288151922,-0.004854340783500222
LDOUSDT,2,T_temporal_mlp,0.5059976695986924,0.512575041217712,0.006577371619019612
LDOUSDT,2,C_logistic,0.5059976695986924,0.5239867673192236,0.017989097720531144
TRXUSDT,0,M_mlp,0.5113889352438646,0.5218417454097913,0.010452810165926696
TRXUSDT,0,T_temporal_mlp,0.5113889352438646,0.5050728102030987,-0.006316125040765952
TRXUSDT,0,C_logistic,0.5113889352438646,0.48469178456753564,-0.026697150676328996
TRXUSDT,1,M_mlp,0.43716404234569406,0.449499094261944,0.01233505191624995
TRXUSDT,1,T_temporal_mlp,0.43716404234569406,0.42709582873773305,-0.010068213607961007
TRXUSDT,1,C_logistic,0.43716404234569406,0.44177681474116964,0.004612772395475584
TRXUSDT,2,M_mlp,0.5066278306382775,0.4867775547664695,-0.019850275871808043
TRXUSDT,2,T_temporal_mlp,0.5066278306382775,0.4988366796334153,-0.007791151004862218
TRXUSDT,2,C_logistic,0.5066278306382775,0.46513232247517006,-0.041495508163107486
