model,mean_auc,median_auc,mean_acc,mean_ic,n_folds,auc_lift_vs_lgbm
L_lgbm,0.4992766071569763,0.4992766071569763,0.5441327825801475,-0.015584807145820147,24,0.0
M_mlp,0.4890823087796397,0.4890823087796397,0.5509599195441447,-0.03090588853396875,24,-0.010194298377336597
T_temporal_mlp,0.4836257048338983,0.4836257048338983,0.5344588976182367,,24,-0.01565090232307803
C_logistic,0.4640938708800071,0.4640938708800071,0.5555500358690725,-0.06369213733657374,24,-0.03518273627696922
