symbol,fold,model,auc,acc,ic,n_test
BCHUSDT,0,L_lgbm,0.40325885263646205,0.7722419928825622,-0.22262329915862178,562
BCHUSDT,0,M_mlp,0.48022653471470544,0.7935943060498221,-0.22645530799611316,562
BCHUSDT,0,C_logistic,0.3560770063398794,0.7633451957295374,-0.39976441964617243,562
BCHUSDT,0,T_temporal_mlp,0.38141719498994897,0.7935943060498221,,562
BCHUSDT,1,L_lgbm,0.49245439081105546,0.697508896797153,-0.08193875728811298,562
BCHUSDT,1,M_mlp,0.44615072490909374,0.7170818505338078,-0.21061604968989786,562
BCHUSDT,1,C_logistic,0.49488896171793306,0.7170818505338078,0.09915518074134834,562
BCHUSDT,1,T_temporal_mlp,0.49618427829018213,0.7170818505338078,,562
BCHUSDT,2,L_lgbm,0.6320165745856353,0.6441281138790036,0.17464432839131988,562
BCHUSDT,2,M_mlp,0.6127900552486188,0.6441281138790036,0.1632674880824782,562
BCHUSDT,2,C_logistic,0.44098066298342536,0.6441281138790036,-0.17383713424987277,562
BCHUSDT,2,T_temporal_mlp,0.5729696132596686,0.6441281138790036,,562
BCHUSDT,3,L_lgbm,0.5064878951134875,0.6352313167259787,0.009401513363973024,562
BCHUSDT,3,M_mlp,0.403775266334508,0.6245551601423488,-0.1105062638501991,562
BCHUSDT,3,C_logistic,0.395754850731154,0.6245551601423488,-0.20117079656777537,562
BCHUSDT,3,T_temporal_mlp,0.44031271519423176,0.6156583629893239,,562
BCHUSDT,4,L_lgbm,0.45847632120796156,0.5516014234875445,-0.18270403653358044,562
BCHUSDT,4,M_mlp,0.49878460306566,0.49110320284697506,-0.15403721631461048,562
BCHUSDT,4,C_logistic,0.44828128574696857,0.6103202846975089,-0.18578766379525716,562
BCHUSDT,4,T_temporal_mlp,0.5024736902310684,0.4928825622775801,,562
BCHUSDT,5,L_lgbm,0.4996571258199165,0.6227758007117438,-0.019256684716030502,562
BCHUSDT,5,M_mlp,0.487418008348241,0.6209964412811388,-0.06936748598336781,562
BCHUSDT,5,C_logistic,0.46188133571854506,0.693950177935943,-0.13416043240457218,562
BCHUSDT,5,T_temporal_mlp,0.4881932021466905,0.5604982206405694,,562
BCHUSDT,6,L_lgbm,0.45392323197169415,0.6708185053380783,-0.10522941806203706,562
BCHUSDT,6,M_mlp,0.4550398051072345,0.6156583629893239,-0.04418438085420678,562
BCHUSDT,6,C_logistic,0.5163498209132698,0.6779359430604982,0.07190913346593447,562
BCHUSDT,6,T_temporal_mlp,0.4447876335900002,0.5747330960854092,,562
BCHUSDT,7,L_lgbm,0.5260416666666667,0.7064056939501779,-0.014124646797634704,562
BCHUSDT,7,M_mlp,0.4892723880597015,0.6832740213523132,0.0094444756738288,562
BCHUSDT,7,C_logistic,0.4731187810945274,0.7153024911032029,-0.0033959955531309683,562
BCHUSDT,7,T_temporal_mlp,0.4854944029850747,0.6441281138790036,,562
LDOUSDT,0,L_lgbm,0.4902714802272858,0.5492424242424242,0.1105120722472886,264
LDOUSDT,0,M_mlp,0.5003156746828905,0.45454545454545453,0.06384897834069223,264
LDOUSDT,0,C_logistic,0.4464213970039603,0.49242424242424243,-0.08192905451675807,264
LDOUSDT,0,T_temporal_mlp,0.4659358319462779,0.4431818181818182,,264
LDOUSDT,1,L_lgbm,0.3726418668080915,0.42803030303030304,-0.26860546090522386,264
LDOUSDT,1,M_mlp,0.38275626941434954,0.5681818181818182,-0.287086591577588,264
LDOUSDT,1,C_logistic,0.42851731191756953,0.32575757575757575,-0.1625308976123238,264
LDOUSDT,1,T_temporal_mlp,0.40707629365861053,0.5113636363636364,,264
LDOUSDT,2,L_lgbm,0.5192721716785887,0.3371212121212121,0.05473850347944615,264
LDOUSDT,2,M_mlp,0.5478158205430933,0.3560606060606061,0.10171265709683099,264
LDOUSDT,2,C_logistic,0.3816237238697132,0.39015151515151514,-0.16150565124666563,264
LDOUSDT,2,T_temporal_mlp,0.4928814501007014,0.3181818181818182,,264
LDOUSDT,3,L_lgbm,0.6010690269555722,0.5189393939393939,0.18454499801081334,264
LDOUSDT,3,M_mlp,0.48468302776021616,0.4772727272727273,-0.07286292873494249,264
LDOUSDT,3,C_logistic,0.4597965400310363,0.4090909090909091,-0.11261535652094512,264
LDOUSDT,3,T_temporal_mlp,0.47836082533478935,0.4583333333333333,,264
LDOUSDT,4,L_lgbm,0.5806965761511216,0.48484848484848486,0.18318713354942637,264
LDOUSDT,4,M_mlp,0.5206611570247933,0.5151515151515151,0.1816805692334783,264
LDOUSDT,4,C_logistic,0.5295749704840613,0.48484848484848486,0.16111303145523675,264
LDOUSDT,4,T_temporal_mlp,0.54728453364817,0.5151515151515151,,264
LDOUSDT,5,L_lgbm,0.47852796290930166,0.5,-0.055060686497661875,264
LDOUSDT,5,M_mlp,0.5156186612576065,0.5113636363636364,0.04382341240078523,264
LDOUSDT,5,C_logistic,0.4389452332657201,0.4962121212121212,-0.056050062284368894,264
LDOUSDT,5,T_temporal_mlp,0.5276731382208055,0.4962121212121212,,264
LDOUSDT,6,L_lgbm,0.4974154135338346,0.553030303030303,-0.06752702807802724,264
LDOUSDT,6,M_mlp,0.44484257518796994,0.5643939393939394,-0.025434527296618607,264
LDOUSDT,6,C_logistic,0.615953947368421,0.6098484848484849,0.34136828997911645,264
LDOUSDT,6,T_temporal_mlp,0.4895441729323308,0.5568181818181818,,264
LDOUSDT,7,L_lgbm,0.5420496323529411,0.5113636363636364,0.13854100309481807,264
LDOUSDT,7,M_mlp,0.54296875,0.5227272727272727,0.12401306993458508,264
LDOUSDT,7,C_logistic,0.5170611213235294,0.5037878787878788,0.18470935048164402,264
LDOUSDT,7,T_temporal_mlp,0.5205078124999999,0.5606060606060606,,264
TRXUSDT,0,L_lgbm,0.4974063857027837,0.5017985611510791,-0.08136830771651257,556
TRXUSDT,0,M_mlp,0.5220886184549186,0.5035971223021583,-0.024513980935199436,556
TRXUSDT,0,C_logistic,0.41507068093924476,0.4172661870503597,-0.22471945099071405,556
TRXUSDT,0,T_temporal_mlp,0.5168617926956429,0.4892086330935252,,556
TRXUSDT,1,L_lgbm,0.5651284231786232,0.5017985611510791,0.15349706579424857,556
TRXUSDT,1,M_mlp,0.5850994565434035,0.591726618705036,0.1668973695887343,556
TRXUSDT,1,C_logistic,0.5939754713721948,0.579136690647482,0.1739436382981257,556
TRXUSDT,1,T_temporal_mlp,0.5574615660585445,0.552158273381295,,556
