window,n_resolved_trades,directional_hits,directional_hit_rate,hit_rate_minus_50pct,binom_p_vs_random,net_of_fee_win_rate
in_sample,171,71,0.4152,-0.0848,0.9892,0.4152
out_of_sample,93,36,0.3871,-0.1129,0.989,0.3871
