symbol,feature,importance,rank_within_symbol,importance_norm
BCHUSDT,vwap_dev_20,180.4,1,1.0
BCHUSDT,max_dd_window_50,158.2,2,0.8769401330376939
BCHUSDT,ema_spread_atr_20,150.4,3,0.8337028824833703
BCHUSDT,range_realized_vol_50,150.4,4,0.8337028824833703
BCHUSDT,ret_kurt_50,141.2,5,0.7827050997782704
BCHUSDT,ret_skew_200,136.4,6,0.7560975609756098
BCHUSDT,ret_kurt_200,116.2,7,0.6441241685144125
BCHUSDT,ret_autocorr_lag1_50,115.0,8,0.6374722838137472
BCHUSDT,hurst_diff_100_50,113.6,9,0.6297117516629711
BCHUSDT,sym_vs_btc_ret_7d,98.8,10,0.5476718403547671
BCHUSDT,regime_momentum_signed_5d,90.6,11,0.5022172949002217
BCHUSDT,hurst_100,84.4,12,0.46784922394678496
BCHUSDT,ret_skew_50,76.6,13,0.42461197339246115
BCHUSDT,btc_ret_14d,75.0,14,0.41574279379157425
LDOUSDT,ret_skew_200,264.4,1,1.0
LDOUSDT,ret_kurt_50,245.0,2,0.9266263237518911
LDOUSDT,ret_kurt_200,238.8,3,0.9031770045385781
LDOUSDT,vwap_dev_20,238.2,4,0.9009077155824509
LDOUSDT,hurst_diff_100_50,236.8,5,0.8956127080181544
LDOUSDT,btc_ret_14d,231.6,6,0.875945537065053
LDOUSDT,range_realized_vol_50,224.6,7,0.8494704992435704
LDOUSDT,ret_skew_50,210.8,8,0.7972768532526476
LDOUSDT,ema_spread_atr_20,200.0,9,0.7564296520423601
LDOUSDT,max_dd_window_50,181.2,10,0.6853252647503782
LDOUSDT,sym_vs_btc_ret_7d,177.6,11,0.6717095310136157
LDOUSDT,ret_autocorr_lag1_50,175.6,12,0.6641452344931922
LDOUSDT,regime_momentum_signed_5d,171.4,13,0.6482602118003027
LDOUSDT,hurst_100,162.8,14,0.6157337367624812
TRXUSDT,range_realized_vol_50,229.4,1,1.0
TRXUSDT,ret_kurt_50,178.2,2,0.7768090671316477
TRXUSDT,hurst_100,173.8,3,0.7576285963382738
TRXUSDT,ret_skew_200,170.6,4,0.7436791630340017
TRXUSDT,max_dd_window_50,169.0,5,0.7367044463818657
TRXUSDT,ret_autocorr_lag1_50,168.4,6,0.7340889276373147
TRXUSDT,vwap_dev_20,167.4,7,0.7297297297297297
TRXUSDT,ret_kurt_200,152.2,8,0.6634699215344376
TRXUSDT,ema_spread_atr_20,146.0,9,0.6364428945074107
TRXUSDT,hurst_diff_100_50,140.2,10,0.6111595466434175
TRXUSDT,regime_momentum_signed_5d,128.4,11,0.5597210113339146
TRXUSDT,ret_skew_50,125.4,12,0.5466434176111595
TRXUSDT,sym_vs_btc_ret_7d,121.6,13,0.5300784655623365
TRXUSDT,btc_ret_14d,120.4,14,0.5248474280732346
