feature,rank_BCH,rank_LDO,rank_TRX,rank_min,rank_max,rank_range,rank_std,norm_BCH,norm_LDO,norm_TRX,norm_std,norm_mean
hurst_100,12,14,3,3,14,11,4.7842,0.4678,0.6157,0.7576,0.1183,0.6137
max_dd_window_50,2,10,5,2,10,8,3.2998,0.8769,0.6853,0.7367,0.081,0.7663
btc_ret_14d,14,6,14,6,14,8,3.7712,0.4157,0.8759,0.5248,0.1963,0.6055
ret_autocorr_lag1_50,8,12,6,6,12,6,2.4944,0.6375,0.6641,0.7341,0.0407,0.6786
range_realized_vol_50,4,7,1,1,7,6,2.4495,0.8337,0.8495,1.0,0.075,0.8944
ema_spread_atr_20,3,9,9,3,9,6,2.8284,0.8337,0.7564,0.6364,0.0812,0.7422
vwap_dev_20,1,4,7,1,7,6,2.4495,1.0,0.9009,0.7297,0.1116,0.8769
ret_skew_50,13,8,12,8,13,5,2.1602,0.4246,0.7973,0.5466,0.1551,0.5895
ret_skew_200,6,1,4,1,6,5,2.0548,0.7561,1.0,0.7437,0.118,0.8333
hurst_diff_100_50,9,5,10,5,10,5,2.1602,0.6297,0.8956,0.6112,0.1299,0.7122
ret_kurt_200,7,3,8,3,8,5,2.1602,0.6441,0.9032,0.6635,0.1178,0.7369
ret_kurt_50,5,2,2,2,5,3,1.4142,0.7827,0.9266,0.7768,0.0693,0.8287
sym_vs_btc_ret_7d,10,11,13,10,13,3,1.2472,0.5477,0.6717,0.5301,0.063,0.5832
regime_momentum_signed_5d,11,13,11,11,13,2,0.9428,0.5022,0.6483,0.5597,0.0601,0.5701
