W,variant,sharpe_1x,sharpe_2x,maxdd_1x,ann_turnover,med_long,med_short,mean_net,fund_pnl,cost,totret_1x,sh_bull,sh_bear,sh_chop,sh_half1,sh_half2,n_months
12,linear,1.473,0.839,-0.453,244.0,20.0,20.0,0.0,0.3448,0.6983,13.115,1.68,1.75,0.32,2.086,0.803,54
12,q0.25,1.518,0.904,-0.424,280.5,11.0,10.0,0.0103,0.4069,0.7995,12.225,2.2,1.13,0.52,2.178,0.805,54
12,q0.33,1.464,0.834,-0.451,262.9,14.0,13.0,0.0048,0.3674,0.7532,12.388,1.86,1.51,0.35,2.157,0.723,54
21,linear,1.501,1.049,-0.43,173.1,20.0,20.0,0.0,0.3688,0.4954,13.445,1.86,1.63,0.33,2.289,0.722,54
21,q0.25,1.5,1.089,-0.4,201.1,11.0,10.0,0.0103,0.4355,0.5738,14.249,2.38,1.08,0.47,2.314,0.725,54
21,q0.33,1.467,1.027,-0.44,186.9,14.0,13.0,0.0048,0.3942,0.5353,12.847,2.0,1.43,0.33,2.253,0.696,54
42,linear,1.427,1.126,-0.34,105.2,20.0,20.0,0.0,0.3414,0.3011,9.615,1.73,1.42,0.56,2.227,0.74,54
42,q0.25,1.364,1.092,-0.366,121.5,11.0,10.0,0.0103,0.4043,0.3493,9.896,2.35,0.91,0.53,2.081,0.723,54
42,q0.33,1.351,1.062,-0.342,113.0,14.0,13.0,0.0048,0.3638,0.3236,8.881,2.04,1.15,0.48,2.151,0.639,54
