band,sign,W,sharpe_1x,sharpe_2x,maxdd_1x,ann_turnover,med_long,med_short,mean_net,fund_pnl,cost,totret_1x,sh_bull,sh_bear,sh_chop,sh_half1,sh_half2,n_months,opp_sharpe_1x
H1-cont,1,6,1.313,0.285,-0.44,384.6,20.0,20.0,0.0,0.3199,1.101,8.472,1.53,1.4,0.31,2.083,0.47,54,-3.415
H1-cont,1,12,1.473,0.839,-0.453,244.0,20.0,20.0,0.0,0.3448,0.6983,13.115,1.68,1.75,0.32,2.086,0.803,54,-2.76
H1-cont,1,21,1.501,1.049,-0.43,173.1,20.0,20.0,0.0,0.3688,0.4954,13.445,1.86,1.63,0.33,2.289,0.722,54,-2.413
H1-cont,1,42,1.427,1.126,-0.34,105.2,20.0,20.0,0.0,0.3414,0.3011,9.615,1.73,1.42,0.56,2.227,0.74,54,-2.033
H2-fade,-1,63,-1.809,-2.053,-0.975,83.7,20.0,20.0,-0.0,-0.3137,0.2394,-0.967,-1.98,-1.56,-1.34,-2.648,-1.148,54,1.313
H2-fade,-1,90,-1.442,-1.632,-0.967,69.4,19.0,19.0,-0.0,-0.2837,0.1992,-0.947,-1.53,-1.23,-1.34,-1.847,-1.031,54,1.058
H2-fade,-1,126,-1.274,-1.45,-0.938,59.0,19.0,19.0,-0.0,-0.2723,0.1707,-0.915,-1.35,-1.07,-1.2,-1.775,-0.821,54,0.922
H2-fade,-1,180,-1.203,-1.379,-0.891,50.4,19.0,19.0,-0.0,-0.2675,0.1446,-0.872,-1.44,-0.66,-1.63,-1.758,-0.727,54,0.849
H2-fade,-1,270,-0.997,-1.121,-0.906,41.6,19.0,19.0,-0.0,-0.2765,0.1187,-0.867,-0.76,-0.88,-1.34,-1.854,-0.202,54,0.748
