W,hl,sharpe_1x,sharpe_2x,maxdd_1x,ann_turnover,med_long,med_short,mean_net,fund_pnl,cost,totret_1x,sh_bull,sh_bear,sh_chop,sh_half1,sh_half2,n_months
12,0,1.473,0.839,-0.453,244.0,20.0,20.0,0.0,0.3448,0.6983,13.115,1.68,1.75,0.32,2.086,0.803,54
12,3,1.589,1.291,-0.403,114.4,20.0,19.0,0.0173,0.3306,0.3252,15.384,2.14,1.6,0.3,2.411,0.862,54
12,6,1.573,1.338,-0.385,89.3,20.0,19.0,0.0346,0.3193,0.2532,13.832,2.4,1.4,0.29,2.673,0.749,54
12,12,1.351,1.177,-0.4,66.7,20.0,19.0,0.0556,0.2938,0.1886,8.713,2.26,0.91,0.35,2.457,0.571,54
21,0,1.501,1.049,-0.43,173.1,20.0,20.0,0.0,0.3688,0.4954,13.445,1.86,1.63,0.33,2.289,0.722,54
21,3,1.431,1.196,-0.403,87.3,20.0,19.0,0.017,0.3347,0.2474,9.695,2.09,1.35,0.19,2.324,0.66,54
21,6,1.272,1.078,-0.39,71.1,20.0,19.0,0.0295,0.3142,0.201,6.641,1.91,1.11,0.22,2.195,0.529,54
21,12,1.103,0.952,-0.458,55.6,21.0,19.0,0.0414,0.288,0.1568,4.686,1.83,0.65,0.36,1.993,0.399,54
42,0,1.427,1.126,-0.34,105.2,20.0,20.0,0.0,0.3414,0.3011,9.615,1.73,1.42,0.56,2.227,0.74,54
42,3,1.271,1.096,-0.353,60.6,20.0,20.0,0.004,0.3079,0.1713,5.847,1.52,1.12,0.65,2.096,0.596,54
42,6,1.17,1.017,-0.358,52.1,20.0,20.0,0.0058,0.2871,0.1468,4.466,1.4,0.91,0.76,2.027,0.479,54
42,12,1.071,0.945,-0.392,43.6,20.0,19.0,0.0044,0.2594,0.1227,3.623,1.21,0.72,0.96,1.885,0.397,54
