variant,sharpe_1x,sharpe_2x,maxdd_1x,ann_turnover,med_long,med_short,mean_net,fund_pnl,cost,totret_1x,sh_bull,sh_bear,sh_chop,sh_half1,sh_half2,n_months
"frozen(q,0.75W,eliggate)",1.501,1.049,-0.43,173.1,20.0,20.0,0.0,0.3688,0.4954,13.445,1.86,1.63,0.33,2.289,0.722,54
mp=0.5W,1.499,1.046,-0.43,172.8,20.0,20.0,0.0,0.3689,0.4944,13.271,1.86,1.63,0.33,2.297,0.708,54
base-vol TBR,1.558,1.111,-0.442,172.3,20.0,20.0,0.0,0.3711,0.4924,15.81,1.95,1.67,0.33,2.393,0.757,54
no-elig-gate-rank,1.178,0.794,-0.433,171.5,25.0,14.0,0.1847,0.2174,0.4907,6.942,2.62,0.2,0.13,2.285,0.277,54
