half,symbol,reference_name,n_target,n_reference,n_overlap,pct_target_in_reference,pct_reference_in_target,asymmetric_diff
IS,BTCUSDT,baseline,65,113,23,35.384615,20.353982,15.030633
IS,BTCUSDT,iter011,65,78,28,43.076923,35.897436,7.179487
IS,DOTUSDT,baseline,107,93,19,17.757009,20.430108,-2.673098
IS,DOTUSDT,iter011,107,116,39,36.448598,33.62069,2.827908
IS,ETHUSDT,baseline,117,145,22,18.803419,15.172414,3.631005
IS,ETHUSDT,iter011,117,123,45,38.461538,36.585366,1.876173
IS,LINKUSDT,baseline,138,146,31,22.463768,21.232877,1.230891
IS,LINKUSDT,iter011,138,149,45,32.608696,30.201342,2.407353
IS,LTCUSDT,baseline,107,124,21,19.626168,16.935484,2.690684
IS,LTCUSDT,iter011,107,104,35,32.71028,33.653846,-0.943566
IS,PORTFOLIO,baseline,534,621,116,21.722846,18.679549,3.043297
IS,PORTFOLIO,iter011,534,570,192,35.955056,33.684211,2.270846
OOS,BTCUSDT,baseline,19,35,4,21.052632,11.428571,9.62406
OOS,BTCUSDT,iter011,19,17,2,10.526316,11.764706,-1.23839
OOS,DOTUSDT,baseline,40,46,9,22.5,19.565217,2.934783
OOS,DOTUSDT,iter011,40,48,10,25.0,20.833333,4.166667
OOS,ETHUSDT,baseline,45,46,8,17.777778,17.391304,0.386473
OOS,ETHUSDT,iter011,45,36,19,42.222222,52.777778,-10.555556
OOS,LINKUSDT,baseline,46,28,1,2.173913,3.571429,-1.397516
OOS,LINKUSDT,iter011,46,47,17,36.956522,36.170213,0.786309
OOS,LTCUSDT,baseline,33,34,4,12.121212,11.764706,0.356506
OOS,LTCUSDT,iter011,33,32,11,33.333333,34.375,-1.041667
OOS,PORTFOLIO,baseline,183,189,26,14.20765,13.756614,0.451037
OOS,PORTFOLIO,iter011,183,180,59,32.240437,32.777778,-0.537341
