split,n_trades,mean_duration_candles,median_duration_candles,full_roster_mean_duration_delta,n_trades_added_by_axis,n_trades_removed_by_axis,added_vs_removed_mean_duration_gap
IS,159,6.3145,4.0,0.0,0,0,DEGENERATE (empty added & removed sets)
OOS,102,6.4608,4.5,0.0,0,0,DEGENERATE (empty added & removed sets)
