metric,value
verdict,BLOCKED-FAIL-FAST
reason,BLOCKED-FAIL-FAST: first 732d IS weighted_pnl=-17.1722 (≤0; 143 IS trades over 2.0yr window)
fail_fast_is_years,2.0
is_trades_count,143
is_cumulative_weighted_pnl,-17.1722
is_cumulative_net_pnl_pct,-27.9114
is_annualized_sharpe_approx,-2.0193
wall_clock_seconds,13468
abort_message,BLOCKED-FAIL-FAST: first 732d IS weighted_pnl=-17.1722 (≤0; 143 IS trades over 2.0yr window)
