date,pnl_pct,trade_count
2022-01-05,9.2053,1
2022-01-17,2.7899,1
2022-01-21,-3.8456,1
2022-02-02,-2.6375,1
2022-02-04,-5.0519,1
2022-02-08,-1.6074,1
2022-02-16,-0.3093,1
2022-02-17,2.7444,1
2022-02-24,3.1653,1
2022-02-28,-2.4851,1
2022-03-09,-1.9851,1
2022-03-18,-1.2814,1
2022-03-24,-1.7680,1
2022-03-27,-1.3612,1
2022-04-05,0.4026,1
2022-05-05,8.2226,1
2022-05-20,0.1628,1
2022-05-28,-1.9364,1
2022-06-08,2.8597,1
2022-06-13,10.9094,1
2022-07-05,-5.8319,1
2022-07-07,-6.1263,1
2022-07-13,3.7401,1
2022-07-19,3.7269,1
2022-07-26,-2.1685,1
2022-07-27,-1.8269,1
2022-08-06,1.7589,1
2022-08-19,-1.4596,1
2022-08-26,-1.5194,1
2022-09-05,-0.2743,1
2022-09-06,-1.1869,1
2022-09-09,-1.4175,1
2022-09-13,2.7127,1
2022-09-23,1.5603,1
2022-09-27,-1.9290,1
2022-10-05,2.5130,1
2022-11-03,1.4223,1
2022-11-19,-2.2608,1
2022-11-21,-4.0169,1
2022-12-01,3.2599,1
2022-12-09,-1.5466,1
2022-12-13,-0.7167,1
2022-12-16,1.8634,1
2022-12-30,-0.5920,1
2023-01-08,0.8398,1
2023-01-10,-0.4995,1
2023-01-20,-1.3481,1
2023-01-25,-1.3731,1
2023-01-29,-1.3629,1
2023-02-02,-1.1927,1
2023-02-09,-1.2445,1
2023-02-15,2.2998,1
2023-02-24,-1.5159,1
2023-03-03,-1.3825,1
2023-03-09,-1.2987,1
2023-03-12,-1.5804,1
2023-03-19,4.2921,1
2023-03-28,-0.6855,1
2023-04-05,-0.5478,1
2023-04-10,-1.2095,1
2023-04-20,1.9463,1
2023-04-26,-1.2587,1
2023-05-01,-1.6307,1
2023-05-08,-1.3277,1
2023-05-12,-1.2202,1
2023-05-20,0.0689,1
2023-05-24,-0.8482,1
2023-05-28,1.8325,1
2023-06-05,-1.0089,1
2023-06-14,2.2909,1
2023-07-03,0.1346,1
2023-07-14,1.1806,1
2023-07-24,-2.1456,1
2023-08-01,-0.8680,1
2023-08-08,-2.3869,1
2023-08-17,0.9249,1
2023-08-29,1.7639,1
2023-08-31,1.8655,1
2023-09-09,-0.1445,1
2023-09-12,-0.6454,1
2023-09-21,0.7767,1
2023-09-28,-0.7566,1
2023-10-01,-0.7931,1
2023-10-06,-0.9759,1
2023-10-11,1.5800,1
2023-10-15,-0.7818,1
2023-10-20,-1.1565,1
2023-11-01,-1.1154,1
2023-11-09,2.4917,1
2023-11-23,0.0394,1
2023-12-01,-0.6518,1
2023-12-02,-0.8645,1
2023-12-11,-1.1321,1
2023-12-19,0.8579,1
2023-12-27,0.3158,1
2023-12-29,-1.0892,1
2024-01-02,2.0295,1
2024-01-03,2.1351,1
2024-01-11,3.4730,1
2024-01-23,2.6863,1
2024-01-29,2.3866,1
2024-02-07,-0.1566,1
2024-02-12,-0.9943,1
2024-02-26,2.2502,1
2024-04-02,-3.6491,1
2024-04-13,7.5128,1
2024-04-30,7.8115,1
2024-05-14,0.2652,1
2024-05-15,6.6284,1
2024-05-19,-1.2256,1
2024-05-20,-0.9660,1
2024-05-29,0.7799,1
2024-06-06,1.6474,1
2024-06-11,-1.0039,1
2024-06-14,-0.9301,1
2024-06-18,-0.9997,1
2024-06-24,-1.0564,1
2024-07-02,0.0573,1
2024-07-15,-1.6335,1
2024-07-17,-1.4573,1
2024-07-19,-1.3340,1
2024-07-27,-1.1414,1
2024-08-03,-1.4169,1
2024-09-04,-4.4470,1
2024-09-13,9.6745,1
2024-09-19,-3.6381,1
2024-09-26,-3.7617,1
2024-09-30,-2.5586,1
2024-10-23,-2.7067,1
2024-10-29,1.8800,1
2025-02-02,-4.8126,1
2025-02-20,0.7407,1
2025-03-24,4.1433,1
