window,threshold_pct,n_candles,n_above_threshold,fire_rate_gross,median_abs_return_pct,p95_abs_return_pct,p99_abs_return_pct,max_abs_return_pct
FULL,20.0,6911,757,0.10953552307914918,6.287508790181976,27.339557651414054,39.44717845523651,70.0949683106093
FULL,15.0,6911,1281,0.1853566777600926,6.287508790181976,27.339557651414054,39.44717845523651,70.0949683106093
IS,20.0,5685,732,0.1287598944591029,6.707574444136837,29.133087115069873,40.93281561259056,70.0949683106093
IS,15.0,5685,1217,0.2140721196130167,6.707574444136837,29.133087115069873,40.93281561259056,70.0949683106093
OOS,20.0,1226,25,0.020391517128874388,4.597313308224857,15.150201977759556,22.253003914870963,29.77082949334495
OOS,15.0,1226,64,0.052202283849918436,4.597313308224857,15.150201977759556,22.253003914870963,29.77082949334495
