symbol,first_listing,is_bars_post_burnin,median_daily_quote_vol_musd,depth_ok,liquidity_ok,status
ATOMUSDT,2020-02-07,5435,92.3,True,True,PASS
ALGOUSDT,2020-06-16,5045,47.6,True,True,PASS
ETCUSDT,2020-01-16,5501,139.5,True,True,PASS
XLMUSDT,2020-01-20,5474,46.3,True,True,PASS
EOSUSDT,2020-01-08,5525,115.9,True,True,PASS
VETUSDT,2020-02-14,5399,35.0,True,True,PASS
XTZUSDT,2020-02-06,5438,34.0,True,True,PASS
AAVEUSDT,2020-10-16,4680,104.0,True,True,PASS
UNIUSDT,2020-09-18,4764,90.2,True,True,PASS
CRVUSDT,2020-09-01,4815,106.7,True,True,PASS
FTMUSDT,2020-09-24,4731,151.3,True,True,PASS
RUNEUSDT,2020-09-04,4806,71.4,True,True,PASS
SANDUSDT,2021-01-25,4362,96.5,True,True,PASS
GALAUSDT,2021-09-18,3669,131.3,True,True,PASS
MANAUSDT,2021-03-15,4215,51.9,True,True,PASS
THETAUSDT,2020-05-27,5105,45.9,True,True,PASS
