symbol,marginal_aggregate_sharpe_lift
GALAUSDT,0.153
MANAUSDT,0.1407
SANDUSDT,0.067
EOSUSDT,0.0037
UNIUSDT,-0.0029
ALGOUSDT,-0.0091
XLMUSDT,-0.0196
AAVEUSDT,-0.0539
THETAUSDT,-0.0621
CRVUSDT,-0.0743
VETUSDT,-0.117
ETCUSDT,-0.1731
XTZUSDT,-0.1746
RUNEUSDT,-0.189
FTMUSDT,-0.2633
ATOMUSDT,-0.3405
