symbol,role,mean_duration_candles,median_duration_candles,duration_gap_vs_incumbent
INCUMBENT_POOL,incumbent,6.789,5.0,0.0
ATOMUSDT,candidate,6.424,5.0,-0.365
ALGOUSDT,candidate,6.458,5.0,-0.331
ETCUSDT,candidate,6.874,5.0,0.085
XLMUSDT,candidate,7.116,5.0,0.328
EOSUSDT,candidate,7.032,5.0,0.243
VETUSDT,candidate,6.706,5.0,-0.083
XTZUSDT,candidate,6.52,4.0,-0.269
AAVEUSDT,candidate,6.04,4.0,-0.749
UNIUSDT,candidate,6.356,4.0,-0.433
CRVUSDT,candidate,6.601,5.0,-0.188
FTMUSDT,candidate,6.612,5.0,-0.177
RUNEUSDT,candidate,5.838,4.0,-0.951
SANDUSDT,candidate,6.618,5.0,-0.171
GALAUSDT,candidate,6.938,5.0,0.149
MANAUSDT,candidate,6.97,5.0,0.181
THETAUSDT,candidate,6.247,4.0,-0.542
