book,symbols,book_size,aggregate_is_monthly_sharpe,bldp_predicted_sharpe,mean_per_symbol_sharpe,mean_pairwise_pnl_corr,delta_vs_incumbent
incumbent_3,BCHUSDT+LDOUSDT+TRXUSDT,3,-0.0761,0.2745,0.1393,-0.1137,0.0
wholesale_5_marginal,BCHUSDT+LDOUSDT+TRXUSDT+GALAUSDT+MANAUSDT,5,0.1475,0.4168,0.2063,0.0563,0.2235
wholesale_6_marginal,BCHUSDT+LDOUSDT+TRXUSDT+GALAUSDT+MANAUSDT+SANDUSDT,6,0.161,0.3956,0.1934,0.0869,0.2371
wholesale_7_marginal,BCHUSDT+LDOUSDT+TRXUSDT+GALAUSDT+MANAUSDT+SANDUSDT+EOSUSDT,7,0.1242,0.322,0.1613,0.126,0.2003
wholesale_8_marginal,BCHUSDT+LDOUSDT+TRXUSDT+GALAUSDT+MANAUSDT+SANDUSDT+EOSUSDT+UNIUSDT,8,0.1096,0.2911,0.1341,0.0997,0.1856
wholesale_5_ownSharpe,BCHUSDT+LDOUSDT+TRXUSDT+MANAUSDT+GALAUSDT,5,0.1475,0.4168,0.2063,0.0563,0.2235
wholesale_6_ownSharpe,BCHUSDT+LDOUSDT+TRXUSDT+MANAUSDT+GALAUSDT+SANDUSDT,6,0.161,0.3956,0.1934,0.0869,0.2371
wholesale_7_ownSharpe,BCHUSDT+LDOUSDT+TRXUSDT+MANAUSDT+GALAUSDT+SANDUSDT+EOSUSDT,7,0.1242,0.322,0.1613,0.126,0.2003
wholesale_8_ownSharpe,BCHUSDT+LDOUSDT+TRXUSDT+MANAUSDT+GALAUSDT+SANDUSDT+EOSUSDT+ALGOUSDT,8,0.0823,0.261,0.1345,0.1607,0.1583
