symbol,role,is_trades,is_win_rate,is_monthly_sharpe,is_net_pnl_pct,mean_trade_duration_candles
BCHUSDT,incumbent,2163,0.3245,-0.3522,-1128.12,6.79
LDOUSDT,incumbent,237,0.4641,0.6137,456.12,6.54
TRXUSDT,incumbent,2151,0.3645,0.1564,373.57,6.815
ATOMUSDT,candidate,1952,0.3023,-0.4108,-1368.1,6.424
ALGOUSDT,candidate,1747,0.3429,-0.053,-224.87,6.458
ETCUSDT,candidate,2295,0.3329,-0.286,-1150.33,6.874
XLMUSDT,candidate,2258,0.3578,-0.0688,-243.9,7.116
EOSUSDT,candidate,1951,0.3501,-0.0316,-124.33,7.032
VETUSDT,candidate,2085,0.3309,-0.227,-624.2,6.706
XTZUSDT,candidate,1882,0.3236,-0.2977,-849.73,6.52
AAVEUSDT,candidate,1435,0.3317,-0.1487,-307.67,6.04
UNIUSDT,candidate,1541,0.3576,-0.0562,-130.97,6.356
CRVUSDT,candidate,1542,0.3197,-0.147,-494.87,6.601
FTMUSDT,candidate,1457,0.2862,-0.5142,-1355.38,6.612
RUNEUSDT,candidate,1484,0.3012,-0.3461,-961.34,5.838
SANDUSDT,candidate,1485,0.3515,0.1289,257.28,6.618
GALAUSDT,candidate,913,0.3998,0.3024,775.77,6.938
MANAUSDT,candidate,1499,0.3889,0.3114,627.29,6.97
THETAUSDT,candidate,1647,0.3297,-0.1583,-432.22,6.247
