symbol,train_month,n_trials,n_candles,n_paths,rank,pbo,n_eff,frac_pos,path_q50,error
LDOUSDT,2025-02,50,1825,45,49,0.0,26,0.46266666666666667,-0.006082035166567951,
LDOUSDT,2025-03,50,1825,45,50,0.3744,21,0.4497777777777778,-0.011517070903845274,
LDOUSDT,2025-04,50,1801,45,50,0.0,28,0.444,-0.010978225228528142,
LDOUSDT,2025-05,50,1711,45,50,0.0,24,0.49244444444444446,-0.0013197958830523636,
LDOUSDT,2025-06,50,1618,45,50,0.0,25,0.48977777777777776,-0.002897581734382298,
LDOUSDT,2025-07,50,1528,45,49,0.0538,23,0.3937777777777778,-0.01239430437533899,
LDOUSDT,2025-08,50,1435,45,49,0.0168,27,0.4888888888888889,0.0,
LDOUSDT,2025-09,50,1342,45,50,0.0852,23,0.7053333333333334,0.043896276665467936,
LDOUSDT,2025-10,50,1252,45,48,0.0,24,0.31777777777777777,-0.04807170351197315,
LDOUSDT,2025-11,50,1159,45,50,0.5234,22,0.36133333333333334,-0.035404315383831306,
LDOUSDT,2025-12,50,1069,45,49,0.0,19,0.5271111111111111,0.010651447676150842,
LDOUSDT,2026-01,50,976,45,50,1.0,21,0.6475555555555556,0.06865769025882941,
LDOUSDT,2026-02,50,883,45,47,0.0,22,0.5808888888888889,0.03419127240843454,
LDOUSDT,2026-03,50,799,45,49,0.0,18,0.5822222222222222,0.0492148503682141,
LDOUSDT,2026-04,50,706,45,50,0.1248,15,0.5142222222222222,0.005077108935730731,
LDOUSDT,2026-05,50,616,45,48,0.0002,15,0.40755555555555556,-0.03785532201610906,
MKRUSDT,2022-08,50,1780,45,47,0.0,25,0.336,-0.03719669213595149,
MKRUSDT,2022-09,50,1810,45,49,0.0,23,0.24533333333333332,-0.09405302966671358,
MKRUSDT,2022-10,50,1810,45,47,0.0,27,0.39022222222222225,-0.02976154532485238,
MKRUSDT,2022-11,50,1810,45,50,0.0,25,0.5302222222222223,0.007968362434206518,
MKRUSDT,2022-12,50,1810,45,49,0.6066,23,0.4666666666666667,-0.0037169987143524314,
MKRUSDT,2023-01,50,1810,45,50,0.0,27,0.5071111111111111,0.001218973335144195,
MKRUSDT,2023-02,50,1810,45,47,0.008,27,0.5688888888888889,0.02435420520495299,
MKRUSDT,2023-03,50,1810,45,50,0.0,25,0.5937777777777777,0.030667095842376188,
MKRUSDT,2023-04,50,1810,45,50,0.0,28,0.564,0.021636273634504485,
MKRUSDT,2023-05,50,1810,45,50,0.0008,26,0.5235555555555556,0.007221481209395553,
MKRUSDT,2023-06,50,1810,45,50,0.1434,27,0.536,0.01172094130330938,
MKRUSDT,2023-07,50,1810,45,50,0.0064,27,0.7306666666666667,0.06576166672628037,
MKRUSDT,2023-08,50,1810,45,50,0.0,25,0.5302222222222223,0.012570977665421933,
MKRUSDT,2023-09,50,1810,45,50,0.0266,24,0.488,0.0,
MKRUSDT,2023-10,50,1810,45,50,0.885,24,0.6537777777777778,0.04576482364452253,
MKRUSDT,2023-11,50,1810,45,50,0.508,23,0.8115555555555556,0.09886269157048536,
MKRUSDT,2023-12,50,1810,45,50,0.0,26,0.5208888888888888,0.006035416526295478,
MKRUSDT,2024-01,50,1810,45,50,0.5136,21,0.6862222222222222,0.0506644001798959,
MKRUSDT,2024-02,50,1810,45,50,0.0496,28,0.6115555555555555,0.03262240255054305,
MKRUSDT,2024-03,50,1820,45,50,0.0,28,0.5195555555555555,0.004858251971383765,
MKRUSDT,2024-04,50,1820,45,50,0.0,27,0.4866666666666667,-0.003989506053840756,
MKRUSDT,2024-05,50,1825,45,50,0.8322,25,0.44533333333333336,-0.015411593952393533,
MKRUSDT,2024-06,50,1825,45,50,0.3108,28,0.4097777777777778,-0.0295566889276422,
MKRUSDT,2024-07,50,1825,45,50,0.0,27,0.48088888888888887,-0.005238229277420181,
MKRUSDT,2024-08,50,1825,45,46,0.0,25,0.2702222222222222,-0.10083399035342971,
MKRUSDT,2024-09,50,1825,45,50,0.0,27,0.3168888888888889,-0.06446560711274371,
MKRUSDT,2024-10,50,1825,45,50,0.2656,27,0.39955555555555555,-0.04302861313237745,
MKRUSDT,2024-11,50,1825,45,38,0.02,21,0.39066666666666666,-0.0387450080410192,
MKRUSDT,2024-12,50,1825,45,46,0.0,24,0.23644444444444446,-0.12036443860961832,
MKRUSDT,2025-01,50,1825,45,43,0.0,23,0.44533333333333336,-0.016790896824234545,
MKRUSDT,2025-02,50,1825,45,50,0.0,29,0.34,-0.04260870098465916,
MKRUSDT,2025-03,50,1825,45,37,0.0,21,0.4728888888888889,-0.004515637868402212,
MKRUSDT,2025-04,50,1801,45,49,0.0014,26,0.4186666666666667,-0.026872337271347236,
MKRUSDT,2025-05,50,1711,45,50,0.0,26,0.3631111111111111,-0.07073550430244349,
