feature_b,pearson_ic_adx14_vs_b,abs_ic,flag
range_realized_vol_50,0.1620889697972819,0.1620889697972819,OK
btc_ret_14d,0.129448468623625,0.129448468623625,OK
ret_skew_50,0.1042592238524197,0.1042592238524197,OK
ema_spread_atr_20,0.0911669786030072,0.0911669786030072,OK
ret_kurt_50,0.0668197185379795,0.0668197185379795,OK
max_dd_window_50,0.0608121406002141,0.0608121406002141,OK
ret_skew_200,0.0530410445482645,0.0530410445482645,OK
vwap_dev_20,0.0414357814004299,0.0414357814004299,OK
hurst_100,0.0330067959304711,0.0330067959304711,OK
ret_autocorr_lag1_50,0.0244681941649986,0.0244681941649986,OK
regime_momentum_signed_5d,0.0236600998630583,0.0236600998630583,OK
sym_vs_btc_ret_7d,0.0161759915569352,0.0161759915569352,OK
ret_kurt_200,0.0137762675385524,0.0137762675385524,OK
hurst_diff_100_50,0.0030437581205568,0.0030437581205568,OK
