symbol,n_obs,n_label_pos,n_label_zero,n_label_neg,pearson_ic_adx_vs_label,spearman_ic_adx_vs_label,mean_adx14_label_pos,mean_adx14_label_zero,mean_adx14_label_neg
BCHUSDT,1140,439,220,481,0.019058469481919926,0.016152311347745935,27.675345364173637,27.6751969171471,27.225756558977668
LDOUSDT,543,204,88,251,0.043593364609322095,-0.0008733962225321538,26.263714421723297,27.048325660551914,25.327825271604265
TRXUSDT,1129,518,236,375,-0.018988659852365856,-0.03428205518045393,25.68581734687786,24.85619436986512,26.23924131232292
