family_a,family_b,ic_mean_fisher,ic_median,ic_iqr_low,ic_iqr_high,n_features_a,n_features_b
calendar,calendar,-0.005951,-0.005951,-0.006603,-0.005300,2,2
calendar,interaction,-0.003085,-0.003085,nan,nan,2,6
calendar,mean_reversion,0.003969,0.003969,nan,nan,2,26
calendar,momentum,0.004782,0.004782,nan,nan,2,36
calendar,statistical,0.005479,0.005479,nan,nan,2,24
calendar,trend,0.009492,0.009492,nan,nan,2,39
calendar,volatility,0.002105,0.002105,nan,nan,2,40
calendar,volume,-0.013433,-0.013433,nan,nan,2,20
interaction,interaction,0.004612,0.001217,-0.003227,0.014272,6,6
interaction,mean_reversion,0.094867,0.094867,nan,nan,6,26
interaction,momentum,0.136597,0.136597,nan,nan,6,36
interaction,statistical,-0.136266,-0.136266,nan,nan,6,24
interaction,trend,0.193692,0.193692,nan,nan,6,39
interaction,volatility,0.489400,0.489400,nan,nan,6,40
interaction,volume,0.159259,0.159259,nan,nan,6,20
mean_reversion,mean_reversion,-0.001465,0.004553,-0.006466,0.006545,26,26
mean_reversion,momentum,0.262444,0.262444,nan,nan,26,36
mean_reversion,statistical,-0.106480,-0.106480,nan,nan,26,24
mean_reversion,trend,0.112296,0.112296,nan,nan,26,39
mean_reversion,volatility,0.099750,0.099750,nan,nan,26,40
mean_reversion,volume,0.167078,0.167078,nan,nan,26,20
momentum,momentum,-0.004656,-0.000029,-0.009391,0.001426,36,36
momentum,statistical,0.078733,0.078733,nan,nan,36,24
momentum,trend,0.787103,0.787103,nan,nan,36,39
momentum,volatility,-0.058348,-0.058348,nan,nan,36,40
momentum,volume,0.792032,0.792032,nan,nan,36,20
statistical,statistical,-0.002757,0.000591,-0.003274,0.004625,24,24
statistical,trend,0.085386,0.085386,nan,nan,24,39
statistical,volatility,-0.132879,-0.132879,nan,nan,24,40
statistical,volume,0.081759,0.081759,nan,nan,24,20
trend,trend,0.001105,-0.002705,-0.006229,0.005118,39,39
trend,volatility,-0.052975,-0.052975,nan,nan,39,40
trend,volume,0.694025,0.694025,nan,nan,39,20
volatility,volatility,0.012007,0.017592,0.008199,0.021826,40,40
volatility,volume,-0.064996,-0.064996,nan,nan,40,20
volume,volume,0.011656,0.011531,0.003697,0.019489,20,20
