feature,importance
max_dd_window_50,113.2
ret_skew_200,105.8
vwap_dev_50,101.8
ret_kurt_50,86.8
ema_spread_atr_20,84.0
range_realized_vol_50,82.2
ret_autocorr_lag1_50,80.0
volume_mom_ratio_20,71.8
ret_kurt_200,69.8
volume_cv_50,69.2
hurst_100,64.6
btc_ret_14d,63.4
sym_vs_btc_ret_7d,60.4
obv_slope_50,51.2
ret_skew_50,50.2
btc_vol_14d,49.8
ret_skew_100,49.6
mom_accel_20_100,47.2
fracdiff_logclose_dstat,43.2
hurst_diff_100_50,41.2
vwap_dev_20,40.4
parkinson_gk_ratio_20,38.2
ret_autocorr_lag5_50,36.0
parkinson_vol_20,18.6
bb_width_pct_rank_100,18.4
hurst_200,17.6
cusum_reset_count_200,14.2
btc_ret_3d,13.6
btc_ret_7d,13.6
atr_pct_rank_200,12.4
atr_pct_rank_500,12.0
mom_accel_5_20,11.0
fracdiff_logvolume_dstat,3.2
hl_range_ratio_20,2.8
