observation_idx,open_time_ms,signed_weight_std
0,1640995200000,58.94913061275798
1,1641024000000,59.16079783099616
2,1641052800000,64.03124237432849
3,1641081600000,58.94913061275798
4,1641110400000,57.227615711297986
5,1641139200000,58.94913061275798
6,1641168000000,45.8257569495584
7,1641196800000,45.8257569495584
8,1641225600000,45.8257569495584
9,1641254400000,45.8257569495584
10,1641283200000,47.69696007084728
11,1641312000000,45.8257569495584
12,1641340800000,48.98979485566356
13,1641369600000,49.749371855331
14,1641744000000,58.94913061275798
15,1641772800000,58.94913061275798
16,1641830400000,58.94913061275798
17,1641859200000,58.309518948453004
18,1641888000000,59.16079783099616
19,1641916800000,62.24949798994366
20,1641945600000,47.69696007084728
21,1642003200000,43.58898943540674
22,1642032000000,43.58898943540674
23,1642060800000,43.58898943540674
24,1642089600000,50.99019513592785
25,1642147200000,48.98979485566356
26,1642176000000,50.0
27,1642204800000,47.69696007084728
28,1642233600000,48.98979485566356
29,1642262400000,48.98979485566356
30,1642291200000,47.69696007084728
31,1642320000000,45.8257569495584
32,1642348800000,47.69696007084728
33,1642377600000,45.8257569495584
34,1642406400000,45.8257569495584
35,1642464000000,40.0
36,1642521600000,40.0
37,1642550400000,40.0
38,1642608000000,40.0
39,1642636800000,40.0
40,1642665600000,58.94913061275798
41,1643068800000,57.227615711297986
42,1643097600000,55.67764362830022
43,1643126400000,55.67764362830022
44,1643155200000,55.67764362830022
45,1643184000000,58.309518948453004
46,1643241600000,43.58898943540674
47,1643299200000,58.309518948453004
48,1643328000000,53.61902647381804
49,1643356800000,57.227615711297986
50,1643385600000,57.227615711297986
51,1643443200000,58.94913061275798
52,1643472000000,58.94913061275798
53,1643500800000,58.94913061275798
54,1643529600000,58.94913061275798
55,1643558400000,47.69696007084728
56,1643587200000,40.0
57,1643616000000,43.30127018922193
58,1643644800000,58.309518948453004
59,1643673600000,55.67764362830022
60,1643731200000,57.227615711297986
61,1643760000000,57.227615711297986
62,1643817600000,80.46738469715541
63,1643846400000,74.16198487095663
64,1643875200000,80.62257748298549
65,1643904000000,73.9932429347437
66,1643932800000,73.9932429347437
67,1644019200000,55.67764362830022
68,1644192000000,71.4142842854285
69,1644220800000,72.62919523166975
70,1644307200000,87.17797887081348
71,1644336000000,87.17797887081348
72,1644364800000,88.74119674649424
73,1644422400000,92.05976319760984
74,1644451200000,94.33981132056604
75,1644508800000,88.74119674649424
76,1644537600000,90.96702699330126
77,1644566400000,90.96702699330126
78,1644595200000,80.46738469715541
79,1644624000000,85.2936105461599
80,1644652800000,80.46738469715541
81,1644681600000,80.46738469715541
82,1644710400000,86.02325267042627
83,1644739200000,86.02325267042627
84,1644796800000,90.96702699330126
85,1644825600000,81.24038404635961
86,1644883200000,66.89544080129826
87,1644912000000,66.332495807108
88,1644940800000,43.30127018922193
89,1644969600000,66.89544080129826
90,1644998400000,73.9932429347437
91,1645027200000,66.89544080129826
92,1645056000000,74.16198487095663
93,1645084800000,78.10249675906654
94,1645142400000,83.06623862918075
95,1645315200000,82.915619758885
96,1645401600000,90.96702699330126
97,1645488000000,80.46738469715541
98,1645545600000,79.21489758877429
99,1645574400000,80.46738469715541
100,1645603200000,87.17797887081348
101,1645632000000,80.0
102,1645689600000,80.0
103,1645747200000,80.0
