metric,in_sample,out_of_sample,ratio
sharpe,-0.8313,0.3338,-0.4016
sortino,-0.6483,0.2596,-0.4005
max_drawdown,79.58%,28.37%,0.3565
win_rate,36.6%,41.1%,1.1221
profit_factor,0.7916,1.1213,1.4165
total_trades,287,95,0.3310
calmar_ratio,0.8942,0.4697,0.5253
dsr,-53.1809,-46.7137,0.8784
total_net_pnl,-71.1588,13.3267,-0.1873
psr_monthly_vs_0,0.036798,0.662111,17.9930
psr_monthly_vs_1,0.000027,0.257774,9681.9857
psr_daily_vs_0,0.073422,0.642779,8.7545
n_effective_trials,21,21,1.0000
n_eff_per_cell_median,21,21,1.0000
r5_fire_rate_is,0.000000,0.000000,—
r5_fire_rate_oos,0.000000,0.000000,—
r5_binary_kill_fire_rate_is,0.000000,0.000000,—
r5_binary_kill_fire_rate_oos,0.000000,0.000000,—
