lookback_bars,horizon_bars,n_obs,ann_sharpe_IS,long_frac,short_frac
5,1,4854,-0.0796,0.5028,0.4962
5,3,4852,-0.1265,0.5028,0.4962
5,5,4850,-0.1261,0.5028,0.4962
5,10,4845,-0.584,0.5028,0.4962
10,1,4849,0.3993,0.5058,0.4932
10,3,4847,0.3232,0.5058,0.4932
10,5,4845,0.3161,0.5058,0.4932
10,10,4840,-0.3895,0.5058,0.4932
20,1,4839,0.8827,0.5153,0.4845
20,3,4837,1.1281,0.5153,0.4845
20,5,4835,1.1925,0.5153,0.4845
20,10,4830,0.4571,0.5153,0.4845
30,1,4829,0.075,0.507,0.4928
30,3,4827,-0.2771,0.507,0.4928
30,5,4825,-0.2584,0.507,0.4928
30,10,4820,-0.9751,0.507,0.4928
60,1,4799,0.2756,0.51,0.49
60,3,4797,0.5929,0.51,0.49
60,5,4795,0.6049,0.51,0.49
60,10,4790,0.3381,0.51,0.49
